BA ReferenceNumber,Ratepayer ,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,Relief total,Relief small business rates,Mandatory Relief,Relief discretionary,Top Up Discretionary Relief,Exempt Property,Transition 2018/19,VOA description
0100551191,THE ACCOUNT HOLDER,"119A Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JL,53.64123,-1.34308,Y,1990-04-01,6300,6300,Yes,,,,,-498.58,Workshop & Premises
0100551192,THE ACCOUNT HOLDER,"119A Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JL,53.64123,-1.34308,Y,2008-04-01,3550,3550,Yes,,,,,-269.1,Store & Premises
0100551193,THE ACCOUNT HOLDER,"119A Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JL,53.64123,-1.34308,Y,2011-07-31,2100,2100,Yes,,,,,-247.5,Shop
0100554569,ACKWORTH COMMUNITY LIBRARY,"Former Ackworth Library, Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JH,53.64182,-1.34268,Y,2013-05-23,3200,3200,,Yes,,Yes,,,Clubhouse & Premises
0100556987,THE ACCOUNT HOLDER,"The Community Centre, Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JH,53.64182,-1.34268,Y,2013-01-31,5800,3016,,,,,,,Clubhouse & Premises
0100558100,BELL LANE ACADEMY,"Bell Lane Primary School, Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JA,53.64315,-1.33825,Y,2015-08-01,45750,41463.45,,Yes,,,,,School & Premises
0100558181,THE ACCOUNT HOLDER,"81 Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JJ,53.64230,-1.34075,Y,2017-07-31,2850,2850,Yes,,,,,-320.53,Offices & Premises
0100559110,THE ACCOUNT HOLDER,"Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JJ,53.64230,-1.34075,Y,1990-04-01,15750,8400.07,,,,,,-98.54,Garage & Premises
0100559170,THE ACCOUNT HOLDER,"Masons Arms, Bell Lane, Ackworth, Pontefract, West Yorkshire",WF7 7JD,53.64288,-1.33927,Y,2014-01-31,5200,5200,Yes,,,,,,Public House & Premises
0100559560,THE ACCOUNT HOLDER,"40Dd Bell Lane, (Formerly 41B Bell Lane), Ackworth, Pontefract, West Yorkshire",WF7 7JN,53.64072,-1.34421,Y,2004-10-22,4300,4300,Yes,,,,,-485.61,Shop & Premises
0101294455,BARNSDALE LEISURE LIMITED,"Mayfield Farm, Doncaster Road, East Hardwick, Pontefract, West Yorkshire",WF8 3EQ,53.64840,-1.28870,Y,2013-10-11,18000,10932.48,,,,,,-1465.52,Caravan Sales
0101297078,THE ACCOUNT HOLDER,"Wentdale, Doncaster Road, East Hardwick, Pontefract, West Yorkshire",WF8 3EQ,53.64840,-1.28870,,2017-11-14,32500,19230.07,,,,,,-980.5,Workshop & Premises
0101299220,THE ACCOUNT HOLDER,"Mayfield Farm, Doncaster Road, East Hardwick, Pontefract, West Yorkshire",WF8 3EQ,53.64840,-1.28870,Y,2013-11-05,12500,11500,Yes,,,,,,Workshop Office & Premise
0101299240,THE ACCOUNT HOLDER,"White Cat Garage, Doncaster Road, East Hardwick, Pontefract, West Yorkshire",WF8 3ED,53.65156,-1.29407,Y,2001-04-01,10500,10500,Yes,,,,,-1022.29,Garage & Premises
0101309180,DECIDEBLOOM LTD T/A STONEACRE CAR SUPERMARKET,"Doncaster Road, Ackworth, Pontefract, West Yorkshire",WF7 7DB,53.64062,-1.33577,Y,1998-02-24,26750,13910,,,,,,,Showroom & Premises
0101309190,THE ACCOUNT HOLDER,"Doncaster Road, Ackworth, Pontefract, West Yorkshire",WF7 7ED,53.65595,-1.33477,Y,1990-04-01,3000,1852.08,,,,,,-292.08,Cemetery & Premises
0101309200,EGO RESTAURANTS LIMITED,"The Beverley Arms, Doncaster Road, Ackworth, Pontefract, West Yorkshire",WF7 7BX,53.64129,-1.33585,Y,2015-07-22,99000,69062.55,,,,,,-17138.33,Public House & Premises
0101309210,THE ACCOUNT HOLDER,"Fairways, Doncaster Road, Ackworth, Pontefract, West Yorkshire",WF7 7BZ,53.64002,-1.33069,Y,2007-11-01,7300,7300,Yes,,,,,-519.42,Garage & Premises
0101400011,THE ACCOUNT HOLDER,"1 Fair View, Off Doncaster Road, Ackworth, Pontefract, West Yorkshire",WF7 7DB,53.64062,-1.33577,Y,2015-04-01,3300,3300,Yes,,,,,-407.38,Office & Premises
0101869000,THE ACCOUNT HOLDER,"Coopers Close, Ackworth, Pontefract, West Yorkshire",WF7 7RA,53.64375,-1.34694,Y,1999-10-01,8100,8100,Yes,,,,,-1046.91,Workshop & Premises
0102159080,THE ACCOUNT HOLDER,"Hundhill Lane, East Hardwick, Pontefract, West Yorkshire",WF7 7EU,53.66104,-1.32911,Y,1990-04-01,2600,2600,,,Yes,,,,Sports Ground & Premises
0102159244,E T L DEVELOPMENTS LIMITED,"Hundhill House, Hundhill Lane, East Hardwick, Pontefract, West Yorkshire",WF8 3DZ,53.66234,-1.30950,Y,2006-04-01,390,390,Yes,,,,,-55.19,Office
0102603333,HUTCHINSON 3G UK LIMITED,"Site Number Wf 0062, Sandy Gate Lane, Ackworth, Pontefract, West Yorkshire",WF7 7EY,53.65738,-1.32821,,2010-04-26,5300,5300,,,,,Yes,-936.92,Communication Station & P
0102605760,TELEFONICA UK LIMITED,"Site Number 35760, Pontefract Road, Ackworth, Pontefract, West Yorkshire",WF7 7ET,53.66441,-1.33069,Y,2005-04-01,4550,2366,,,,,,,Communication Station & P
0102609060,THE ACKWORTH PUB COMPANY LIMITED,"Rustic Arms, Long Lane, Ackworth, Pontefract, West Yorkshire",WF7 7EZ,53.65767,-1.31483,Y,2013-04-01,26000,14357.66,,,,,,162.34,Public House & Premises
0102826365,STRATA HOMES LIMITED,"Sales Office 53-55 &, Show Houses 57/61/63, Turnberry Avenue, Ackworth, Pontefract",WF7 7FB,53.64363,-1.35222,Y,2016-01-01,42000,21840,,,,,,,Showhouse & Sales Office
0103107010,ACKWORTH MILL DAM ACADEMY,"Mill Dam J & I School, Mill Lane, Ackworth, Pontefract, West Yorkshire",WF7 7NG,53.64412,-1.33161,Y,2017-07-01,31500,28476,,Yes,,,,,School & Premises
0103109140,THE ACCOUNT HOLDER,"Adjacent Hill Top Store, Mill Lane, Ackworth, Pontefract, West Yorkshire",WF7 7NW,53.64257,-1.33516,Y,2015-07-01,1675,1675,Yes,,,,,-186.99,Shop & Premises
0103109150,THE ACCOUNT HOLDER,"Mill Lane, Ackworth, Pontefract, West Yorkshire",WF7 7NE,53.64655,-1.33263,Y,1990-04-01,10000,10000,Yes,,,,,-93.54,Garage & Premises
0103600521,THE ACCOUNT HOLDER,"52 Pontefract Road, Ackworth, Pontefract, West Yorkshire",WF7 7LL,53.65403,-1.33477,,2017-07-31,1825,1825,,,,,Yes,-215.95,Hairdressing Salon
0103600780,LANCASTER MEMORIALS LIMITED,"78 Pontefract Road, Ackworth, Pontefract, West Yorkshire",WF7 7ED,53.65595,-1.33477,Y,2006-04-01,2125,2125,Yes,,,,,-245.16,Shop & Premises
0103601234,THE ACCOUNT HOLDER,"Priory Cottage, Pontefract Road, Ackworth, Pontefract, West Yorkshire",WF7 7EF,53.65542,-1.33572,Y,2012-01-12,4850,4850,Yes,,,,,-548.73,Stables & Premises
0103609360,THE TRUSTEES OF ACKWORTH UNITED CHARITIES,"Mary Lowther Almshouse, 92 Pontefract Road, Ackworthct, Pontefract, West Yorkshire",WF7 7EU,53.66104,-1.32911,Y,1990-04-01,790,715.23,,Yes,,,,,Hall & Premises
0103609370,ACKWORTH SCHOOL,"Ackworth School, Pontefract Road, Ackworth, Pontefract",WF7 7LT,53.64955,-1.33499,Y,1990-04-01,332500,299715.5,,Yes,,,,,School & Premises
0103609380,B C ACKWORTH LIMITED,"Brown Cow Hotel, Pontefract Road, Ackworth, Pontefract, West Yorkshire",WF7 7EL,53.65712,-1.33232,Y,2015-06-10,9000,9000,Yes,,,,,,Public House & Premises
0103951001,THE ACCOUNT HOLDER,"Low Grange Farm, Rigg Lane, East Hardwick, Pontefract, West Yorkshire",WF8 3EF,53.64898,-1.29565,Y,2016-04-01,3950,3950,Yes,,,,,-202.82,Stables & Premises
0103959160,YORKSHIRE WATER SERVICES LIMITED,"Off Rigg Lane, Ackworth, Pontefract, West Yorkshire",WF8 3EF,53.64898,-1.29565,Y,2005-08-02,118000,52266.92,,,,,,7559.08,Sewage Works
0104250821,H.E. HINITT AND COMPANY LIMITED,"82 Station Road, Ackworth, Pontefract, West Yorkshire",WF7 7LY,53.65103,-1.32454,Y,1990-04-01,14500,7540,,,,,,,Shop & Premises
0104251210,THE ACCOUNT HOLDER,"121 Station Road, Ackworth, Pontefract, West Yorkshire",WF7 7HA,53.65261,-1.31916,Y,2010-09-01,8000,8000,Yes,,,,,-1371.98,Shop & Premises
0104251232,THE ACCOUNT HOLDER,"123A Station Road, Ackworth, Pontefract, West Yorkshire",WF7 7HA,53.65261,-1.31916,Y,2006-09-03,3050,3050,Yes,,,,,-344.78,Hairdressing Salon & Prem
0104257270,MOBILE BROADBAND NETWORK LIMITED,"Station Yard, Mast Site No Wyk 0088, Wakefield Road, Ackworth, Pontefract",WF7 7DF,53.64039,-1.34299,Y,2016-10-27,8000,4160,,,,,,,Communication Station & P
0104259010,LOW ACKWORTH COMMUNITY ASSOCIATION,"Station Road, Ackworth, Pontefract, West Yorkshire",WF7 7LU,53.65031,-1.32816,Y,1990-04-01,4300,4300,,Yes,,Yes,,-543.01,Community Centre & Prem
0104259020,WAKEFIELD MDC FAMILY SERVICES (E),"Ackworth Howard Ce School, Station Road, Ackworth, Pontefract, West Yorkshire",WF7 7HH,53.65080,-1.32140,Y,1990-04-01,25000,13000,,,,,,,School & Premises
104348963,THE ACCOUNT HOLDER,"Unit 53D Langthwaite, Grange Industrial Estate, South Kirkby, Pontefract, West Yorkshire",WF9 3NR,53.59135,-1.30711,Y,2016-09-30,6700,6700,Yes,,,,,-547.09,Warehouse & Premises
0104459030,THE ACCOUNT HOLDER,"Off Stonegate Lane, Ackworth, Pontefract, West Yorkshire",WF7 7LD,53.64192,-1.34688,Y,2017-01-01,9400,9400,Yes,,,,,-1068.25,Vehicle Rep W'shop & Prem
104501395,THE ELECTRICITY NETWORK COMPANY LIMITED,"Idno Electric Connection, Operator Phase 4, Wakefield Road, Ackworth, Pontefract",WF7 7DF,53.64039,-1.34299,Y,2016-04-01,126,89.84,,,,,,-24.32,Independent Distribution Network Op.
0104516245,THE ACCOUNT HOLDER,"Brackenhill Garage, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AZ,53.64219,-1.35371,Y,2016-12-01,9600,9600,Yes,,,,,,Car Sales Area
0104517011,THE ACCOUNT HOLDER,"Brackenhill Garage, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AZ,53.64219,-1.35371,Y,2013-08-16,10250,10250,Yes,,,,,-3083.33,Car Wash
0104517014,THE ACCOUNT HOLDER,"Brackenhill Garage, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AZ,53.64219,-1.35371,Y,2016-08-06,5300,5300,Yes,,,,,-535.15,Vehicle Rep W'shop & Prem
0105000361,THE ACCOUNT HOLDER,"36 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2004-02-21,4000,4000,Yes,,,,,-370.31,Shop & Premises
0105000380,CRUSTY PIZZERIA LIMITED,"38 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2017-07-20,2550,2550,Yes,,,,,-219.57,Shop & Premises
0105000400,HORBURY FINANCIAL SERVICES LIMITED,"40 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2006-03-28,10250,10250,Yes,,,,,,Offices & Premises
0105000420,THE ACCOUNT HOLDER,"42 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AV,,Y,2010-01-18,3300,3300,Yes,,,,,-278.24,Hairdressing Salon & Prem
0105000440,THE ACCOUNT HOLDER,"44 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2017-10-23,7800,7800,Yes,,,,,-702.02,Shop & Premises
0105000520,SAMUEL SMITH OLD BREWERY (TADCASTER),"Ackworth Village Club, 52 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2002-07-05,4100,2132,,,,,,,Club & Premises
0105000552,THE ACCOUNT HOLDER,"Unit 1, Rear Of 55 Wakefield Roa, Ackworth, Pontefract, West Yorkshire",WF7 7AA,53.64083,-1.34815,Y,2015-06-02,10000,10000,Yes,,,,,-1413.64,Workshop & Premises
0105000553,THE ACCOUNT HOLDER,"Unit 2, Rear Of 55 Wakefield Roa, Ackworth, Pontefract, West Yorkshire",WF7 7DF,53.64039,-1.34299,Y,2015-06-02,6500,6500,Yes,,,,,-881.56,Workshop & Premises
0105000911,PRIMESIGHT LIMITED,"After 91 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AA,53.64083,-1.34815,Y,2017-02-20,890,462.8,,,,,,,Advertising Right
0105000940,THE ACCOUNT HOLDER,"94 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7BD,53.64256,-1.35613,Y,2017-04-01,2750,2750,Yes,,,,,-315.57,Shop & Premises
0105001420,MYO TECH LIMITED,"Rear Of 42 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2009-07-20,4950,4950,Yes,,,,,-108.86,Offices & Premises
0105001530,THE ACCOUNT HOLDER,"153A Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AY,53.64191,-1.35470,Y,1998-06-09,1950,1950,Yes,,,,,-218.55,Shop & Premises
0105002244,AIRWAVE SOLUTIONS LIMITED,"Site Reference Wy0150b, Outgang Farm, Rose Lane, Ackworth, Pontefract",WF7 7AS,53.63407,-1.34995,Y,2008-04-01,6600,3615.42,,,,,,-183.42,Communication Station & P
0105002420,THE ACCOUNT HOLDER,"Yard Of 42 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2012-04-01,1225,1225,Yes,,,,,,Shop & Premises
0105003197,THE ACCOUNT HOLDER,"48-50 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,1990-04-01,10750,10750,Yes,,,,,,Offices & Premises
0105004613,THE ACCOUNT HOLDER,"Oakleigh, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AN,53.64167,-1.35402,Y,2014-10-01,5400,5400,Yes,,,,,-611.84,Shop & Premises
0105004679,THE ACCOUNT HOLDER,"Winfield Industrial Est., Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AA,53.64083,-1.34815,Y,2014-04-01,6300,6300,Yes,,,,,-871.66,Vehicle Repair W/shop & P
0105007103,STRATA HOMES LIMITED,"Unit 2, Onward Holdings, Wakefield Road, Ackworth, Pontefract",WF7 7AA,53.64083,-1.34815,,2017-11-09,7100,5011.92,,,,,,-1169.56,Warehouse & Premises
0105007162,FIT 4 LIFE (ACKWORTH) LIMITED,"62 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7DH,53.63928,-1.34128,Y,2015-09-04,15750,14543.99,,,,,,-3944.06,Fitness Centre
0105008282,L R NEWS LIMITED,"1 Lo Lane, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2017-05-02,14500,11104.07,Yes,,,,,-2884.89,Shop & Premises
0105009062,J C DECAUX UK LIMITED,"62 Wakefield Road, (Adj Ackworth Moor Top Wmc), Ackworth, Pontefract, West Yorkshire",WF7 7AZ,53.64219,-1.35371,Y,1995-01-01,840,436.8,,,,,,,Advertising Right
0105009092,THE ACCOUNT HOLDER,"92 Wakefield Road, (Ground Floor), Ackworth, Pontefract, West Yorkshire",WF7 7BD,53.64256,-1.35613,Y,2013-10-01,3650,2335.8,,,,,,-417.55,Shop & Premises
0105009190,RAY WINFIELD CAR SALES LIMITED,"Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 2DF,,Y,2016-04-01,13500,11047.46,Yes,,,,,-1429.16,Garage & Premises
0105009300,LAFARGE REDLAND AGGREGATES LTD,"Station Yard, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7DF,53.64039,-1.34299,Y,2000-09-22,72500,36757.5,,,,,,,Coating Plant & Premises
0105009311,RONTEC INVESTMENTS LLP,"Ackworth Filling Station, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AA,53.64083,-1.34815,Y,2011-11-01,16500,8580,,,,,,,Petrol Fill' Stat' & Prem
0105009312,RONTEC WATFORD LIMITED,"Atm At Ackworth Total Pfs, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AA,53.64083,-1.34815,Y,2013-05-07,3750,1950,,,,,,,Site Of Automatic Teller Machine
0105009330,DECIDEBLOOM LTD T/A STONEACRE CAR SUPERMARKET,"Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7DB,53.64062,-1.33577,Y,2003-04-01,15500,8857.01,,,,,,-695.99,Land Used For Storage
0105009350,THE ACCOUNT HOLDER,"Rear Brackenhill Garage, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AZ,53.64219,-1.35371,Y,2010-01-04,9400,9400,Yes,,,,,-1010.85,Vehicle Rep W'shop & Prem
0105009360,THE ACCOUNT HOLDER,"Brackenhill Garage, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AZ,53.64219,-1.35371,Y,2015-04-01,6500,6500,Yes,,,,,,Restaurant & Premises
0105009380,THE ACCOUNT HOLDER,"Bracken Hill Quarry, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 8BJ,,Y,2008-04-01,5701,5701,Yes,,,,,,Quarry & Premises
0105009400,CLOSE WEST LIMITED,"The Angel Inn, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AB,53.64102,-1.34682,Y,2014-03-31,20250,12041.4,,,,,,-511.4,Public House & Premises
0105009410,THE BLUE BELL INN (WENTBRIDGE) LIMITED,"Boot & Shoe Inn, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7DF,53.64039,-1.34299,Y,2015-06-10,40750,22190,,,,,,,Public House & Premises
0105009450,THE ACCOUNT HOLDER,"Rear Of Boot & Shoe P.h., Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7JJ,53.64230,-1.34075,Y,1990-04-01,3950,3950,,,Yes,,,,Cricket Ground & Premises
0105009900,STRATA HOMES LIMITED,"Unit 1 Onward Holdings, Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7BE,53.64266,-1.35528,,2017-11-09,16000,8933.21,,,,,,,Warehouse & Premises
0105009909,FAIR TRADE ACKWORTH,"Unit 8, Winfield Industrial Est., Wakefield Road, Ackworth, Pontefract",WF7 7AH,53.64145,-1.35263,Y,2002-07-01,910,910,,Yes,,Yes,,-0.59,Shop & Premises
0105009999,MOBILE BROADBAND NETWORK LIMITED,"Site Number 75068, Rear Of Boot & Shoe P.h., Wakefield Road, Ackworth, Pontefract",WF7 7DF,53.64039,-1.34299,Y,2010-04-25,5700,2964,,,,,,,Communication Station & P
0105407108,ESP ELECTRICITY LIMITED,"Idno Electric Connection, Moor Top Avenue, Ackworth, Pontefract, West Yorkshire",WF7 7JW,53.64154,-1.34472,Y,2014-04-01,800,573.89,,,,,,-154.42,Independent Distribution Network Op.
0115003674,THE ELECRIC THEATRE(ACKWORTH) LIMITED,"The Electric Theatre, 62 Wakefield Road, Ackworth, Pontefract, West Yorkshire",WF7 7AH,53.64145,-1.35263,Y,2017-04-01,17500,10100,,,,,,,Public House & Premises
120238521,UPTON AUTO PARTS LIMITED,"Unit 1E, Steedcourt Business Park, Waggon Lane, Upton, Pontefract",WF9 1JS,53.61644,-1.27568,Y,2015-04-01,3750,3750,Yes,,,,,-307.71,Workshop & Premises
150302121,THE ACCOUNT HOLDER,"Cedars Business Centre, (Room 21), Barnsley Road, Hemsworth, Pontefract",WF9 4PU,53.61350,-1.35796,Y,2018-01-23,3300,1779.01,,,,,,-63.01,Offices & Premises
150315903,THE ACCOUNT HOLDER,"Unit C10 Ashmount, Industrial Park, Ford Street, Kinsley, Pontefract",WF9 5ED,53.62475,-1.36697,Y,2009-12-18,3350,3350,Yes,,,,,-646.62,Factory & Premises
151059635,KINSLEY FITZWILLIAM COMMUNITY RESOURCE GROUP,"The Kinsley & Fitzwilliam, Community Resource Centre, Wakefield Road, Kinsley, Pontefract",WF9 5EB,53.62435,-1.36750,Y,2015-09-01,27000,27000,,Yes,,Yes,,,Community Centre & Prem
154310000,THE ACCOUNT HOLDER,"The Lakeside, Hoyle Mill Road, Kinsley, Pontefract, West Yorkshire",WF9 5JB,53.62646,-1.35834,Y,2012-03-17,20500,10660,,,,,,,Cafe & Premises
0200551122,BADSWORTH NURSERY LIMITED,"The Nursery, Main Street, Badsworth, Pontefract, West Yorkshire",WF9 1AJ,53.62925,-1.30088,Y,2015-04-01,12250,11809.96,Yes,,,,,-599.58,Day Nursery & Premises
0200553456,THE ACCOUNT HOLDER,"Shepherd Hill Nurseries, Adjacent The Croft, Badsworth, Pontefract, West Yorkshire",WF9 1AX,53.63253,-1.32425,Y,2004-09-01,7700,7700,Yes,,,,,-309.64,Nursery & Premises
