Property Reference Number,BA Reference Number,Ratepayer,Full Property Address,Post Code,Latitude,Longitude,Occupied,Liability Start date,Empty From,Last Rateable Value for 2017,Analysis Code of Last 2017 Val,2017 NDR - Analysis code desc,Exemptions,Exemption Start date,Relief Types,Relief Total,Relief mandatory,Relief discretionary
N01102510010,N01102510010,,"Suite 1,Market Chambers, 14, Market Place, Bedale, North Yorkshire, DL8 1EQ",DL8 1EQ,54.28859,-1.59260,Y,2016-09-05,,7300,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-3423.14,,
N01102510020,N01102510020,Calabrian Ltd,"Suite 2, Market Chambers, 14, Market Place, Bedale, North Yorkshire, DL8 1EQ",DL8 1EQ,54.28859,-1.59260,Y,2015-06-01,,4150,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-2037.65,,
N01102510030,N01102510030,Replay Associates Ltd,"Suite 3, Market Chambers, 14, Market Place, Bedale, North Yorkshire, DL8 1EQ",DL8 1EQ,54.28859,-1.59260,N,2015-02-25,,5500,CO,Office (Excluding Central & Local Gov'T),PRESNOTICE,2015-05-25,,#N/A,,
N01102510040,N01102510040,,"Suite 4, Market Chambers, 14, Market Place, Bedale, North Yorkshire, DL8 1EQ",DL8 1EQ,54.28859,-1.59260,N,2014-05-01,,4000,CO,Office (Excluding Central & Local Gov'T),PRESNOTICE,2015-08-06,,#N/A,,
N01102530010,N01102530010,Maynews Ltd,"1, Market Court, Bedale, North Yorkshire, DL8 1YA",DL8 1YA,54.28870,-1.59279,Y,2013-02-08,,13250,CS,Shop And Premises,#N/A,#N/A,,-27.77,,
N01102530020,N01102530020,Replay Associates Ltd,"2, Market Court, Bedale, North Yorkshire, DL8 1YA",DL8 1YA,54.28870,-1.59279,N,2016-10-02,,18750,CS,Shop And Premises,PRESNOTICE,2017-01-02,,#N/A,,
N01102550020,N01102550020,Bridge Interiors Ltd,"2, Bridge Street, Bedale, North Yorkshire, DL8 2AD",DL8 2AD,54.28848,-1.59074,Y,2017-11-01,,11250,CS,Shop And Premises,#N/A,#N/A,,-4327.37,,
N01102550021,N01102550021,Bluestones Solutions Ltd,"2a, Bridge Street, Bedale, North Yorkshire, DL8 2AD",DL8 2AD,54.28848,-1.59074,Y,2013-07-12,,9300,CS,Shop And Premises,#N/A,#N/A,,-3552.32,,
N01102550044,N01102550044,Bedale Flooring Ltd,"4, Bridge Street, Bedale, North Yorkshire, DL8 2AD",DL8 2AD,54.28848,-1.59074,Y,2015-08-01,,16750,CS,Shop And Premises,#N/A,#N/A,,-3211.85,,
N01102605003,N01102605003,,"Springfield Farm, Masham Road, Bedale, North Yorkshire, DL8 2SD",DL8 2SD,54.28183,-1.60050,Y,1995-04-01,,6000,LX,Other Leisure,#N/A,#N/A,,-2680.38,,
N01102950080,N01102950080,,"Flat 8, Mowbray Grange, South End, Bedale, North Yorkshire, DL8 2DN",DL8 2DN,54.28602,-1.58812,Y,2017-12-01,,1600,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-785.60,,
N01103000021,N01103000021,Incy Wincy'S Ltd,"Amen House, 2, North End, Bedale, North Yorkshire, DL8 1XA",DL8 1XA,54.28988,-1.59498,Y,2012-09-01,,11750,EN1,Day Nursery And Premises,#N/A,#N/A,,#N/A,,
N01103000025,N01103000025,Hutchinson 3g Uk Ltd,"Telecom Mast St Gregorys Church, Dl0049, North End, Bedale, North Yorkshire, DL8 1AP",DL8 1AP,54.29054,-1.59593,Y,2005-04-01,,12250,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N01103000040,N01103000040,Robin Jessop Ltd,"4, North End, Bedale, North Yorkshire, DL8 1AB",DL8 1AB,54.28963,-1.59365,Y,2004-06-23,,11750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-25.96,,
N01103000073,N01103000073,,"7/9, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2014-09-01,,10500,CR,Restaurants,#N/A,#N/A,,-5155.50,,
N01103000074,N01103000074,Regency Pizza Ltd,"11, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2018-04-01,,7700,CS,Shop And Premises,#N/A,#N/A,,#N/A,,
N01103000130,N01103000130,Cvs (Uk) Ltd,"Forrest House Vet Centre, 13/15, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2016-11-21,,14250,CX,Other Commercial,#N/A,#N/A,,-26.94,,
N01103000161,N01103000161,,"The Georgian Cottage, Wycar, Bedale, North Yorkshire, DL8 1EP",DL8 1EP,54.28818,-1.59523,Y,2017-04-01,,3800,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1865.80,,
N01103000170,N01103000170,Skipton Building Society,"17, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,1995-04-01,,8000,CS,Shop And Premises,#N/A,#N/A,,#N/A,,
N01103000173,N01103000173,,"Archway House, 17b, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2009-10-28,,5900,CS,Shop And Premises,#N/A,#N/A,,-2896.90,,
N01103000179,N01103000179,Kielder Newport West Ltd,"Offices 1,2 & 3 Archway House, 17b, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2013-12-01,,10500,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-5155.50,,
N01103000181,N01103000181,Barclays Bank  Uk Plc,"18a, North End, Bedale, North Yorkshire, DL8 1AD",DL8 1AD,54.28936,-1.59345,Y,1995-04-01,,16000,CS1,Banks,#N/A,#N/A,,#N/A,,
N01103000182,N01103000182,Streamline Accountants Ltd,"18, North End, Bedale, North Yorkshire, DL8 1AD",DL8 1AD,54.28936,-1.59345,Y,2014-07-01,,12000,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-5892.00,,
N01103000192,N01103000192,,"Units 2/3, 19, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2017-10-16,,12000,CS,Shop And Premises,#N/A,#N/A,,-5748.29,,
N01103000194,N01103000194,,"Unit 1, 19, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2018-12-29,,6600,CS,Shop And Premises,#N/A,#N/A,,-3197.08,,
N01103000200,N01103000200,Norchem Healthcare Ltd,"20, North End, Bedale, North Yorkshire, DL8 1AB",DL8 1AB,54.28963,-1.59365,Y,1995-08-01,,9600,CS,Shop And Premises,#N/A,#N/A,,-21.21,,
N01103000210,N01103000210,,"21, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,1995-04-01,,10500,CS,Shop And Premises,#N/A,#N/A,,-5037.83,,
N01103000233,N01103000233,,"23, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,N,2019-01-01,,13250,CS,Shop And Premises,#N/A,#N/A,,#N/A,,
N01103000235,N01103000235,,"Personal Touches, R/O 23, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2012-07-20,,5100,CS3,Hairdressing Salons,#N/A,#N/A,,-2260.56,,
N01103000271,N01103000271,North Of England Saddlery Co,"27a, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,1995-04-01,,550,IF3,Workshops,#N/A,#N/A,,-270.05,,
N01103000272,N01103000272,,"27, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,1997-10-01,,5700,CS,Shop And Premises,#N/A,#N/A,,-2744.97,,
N01103000290,N01103000290,,"29, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2001-04-01,,5300,CS,Shop And Premises,#N/A,#N/A,,-846.86,,
N01103000311,N01103000311,"L Rowland & Co Retail Ltd.,","31, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2004-06-11,,19000,CS,Shop And Premises,#N/A,#N/A,,-3137.03,,
N01103000330,N01103000330,,"33, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2018-03-07,,11750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-5683.70,,
N01103000356,N01103000356,,"Tj Mudd & Co, 35, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2019-01-01,,2000,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N01103000370,N01103000370,,"37, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2012-10-01,,8600,CS,Shop And Premises,#N/A,#N/A,,-4069.02,,
N01103001946,N01103001946,,"Unit 6, 19, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,1998-05-18,,10000,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-4456.54,,
N01103003500,N01103003500,Kenneth Easby & Company,"K Easby & Co, 35, North End, Bedale, North Yorkshire, DL8 1AF",DL8 1AF,54.29013,-1.59314,Y,2012-01-02,,17250,CS,Shop And Premises,#N/A,#N/A,,-35.41,,
N01103700020,N01103700020,Autobahn Tuning Ltd,"2, Queen Annes Drive, Bedale, North Yorkshire, DL8 2EN",DL8 2EN,54.28611,-1.59568,Y,2014-04-14,,750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-368.25,,
N01103900010,N01103900010,,"White Bear Hotel, 1, South End, Bedale, North Yorkshire, DL8 2BJ",DL8 2BJ,54.28783,-1.59070,Y,2017-12-05,,8800,CL,Public House,#N/A,#N/A,,-4320.80,,
N01103900020,N01103900020,,"2, South End, Bedale, North Yorkshire, DL8 2BN",DL8 2BN,54.28763,-1.59096,Y,1995-04-01,,17250,CS,Shop And Premises,#N/A,#N/A,,-3155.59,,
N01103900050,N01103900050,Eccles Heddon & Co Solicitors,"5, South End, Bedale, North Yorkshire, DL8 2BJ",DL8 2BJ,54.28783,-1.59070,Y,1995-04-01,,11750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-19.89,,
N01103900070,N01103900070,,"7, South End, Bedale, North Yorkshire, DL8 2BJ",DL8 2BJ,54.28783,-1.59070,Y,1997-03-01,,6500,CS,Shop And Premises,#N/A,#N/A,,-2518.91,,
N01103900091,N01103900091,George F White,"9, South End, Bedale, North Yorkshire, DL8 2BJ",DL8 2BJ,54.28783,-1.59070,Y,2010-07-16,,13500,CS,Shop And Premises,#N/A,#N/A,,-25.27,,
N01103900140,N01103900140,,"14, South End, Bedale, North Yorkshire, DL8 2BN",DL8 2BN,54.28763,-1.59096,Y,2015-11-01,,5400,CS,Shop And Premises,#N/A,#N/A,,-2651.40,,
N01103900200,N01103900200,Beresford Peirse Lodge Of Freemasons,"20, South End, Bedale, North Yorkshire, DL8 2BN",DL8 2BN,54.28763,-1.59096,Y,1995-04-01,,3000,CL2,Club And Premises,#N/A,#N/A,,-1473.00,,
N01103909990,N01103909990,Yorkshire Water Services Ltd,"Sewage Disposal Works, South End, Bedale, North Yorkshire, DL8 2DG",DL8 2DG,54.28658,-1.58815,Y,1995-04-01,,56500,NW,Sewage Treatment Works,#N/A,#N/A,,#N/A,,
N01104205000,N01104205000,O Uk Ltd,"Telecom Mast Site Ref Nyk7037, Pavement Outside Benkhill Lodge, Sussex Close, Bedale, North Yorkshire, DL8 2ED",DL8 2ED,54.28577,-1.59068,Y,2005-04-01,,4350,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N01104205001,N01104205001,Telefonica Uk Ltd,"O2 Telecom Mast, Pavement Outside Benkhill Lodge, Sussex Close, Bedale, North Yorkshire, DL8 2ED",DL8 2ED,54.28577,-1.59068,Y,2007-11-30,,4350,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N01104300012,N01104300012,,"Rooms 4 & 5 2nd Floor, 2, Sussex Street, Bedale, North Yorkshire, DL8 2AJ",DL8 2AJ,54.28780,-1.59214,Y,2018-07-10,,1825,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N01104300020,N01104300020,,"2, Sussex Street, Bedale, North Yorkshire, DL8 2AJ",DL8 2AJ,54.28780,-1.59214,Y,2018-07-06,,2475,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1215.23,,
N01104300030,N01104300030,,"1 3 & 5, Sussex Street, Bedale, North Yorkshire, DL8 2AN",DL8 2AN,54.28745,-1.59234,Y,2014-10-01,,7800,CS,Shop And Premises,#N/A,#N/A,,-3829.80,,
N01104300182,N01104300182,Nhs Property Services Ltd,"18, Sussex Street, Bedale, North Yorkshire, DL8 2AJ",DL8 2AJ,54.28780,-1.59214,Y,2013-04-01,,21500,MH1,Health Centres,#N/A,#N/A,,#N/A,,
N01104300204,N01104300204,,"Rooms C&D 2nd Floor, 2, Sussex Street, Bedale, North Yorkshire, DL8 2AJ",DL8 2AJ,54.28780,-1.59214,N,2017-04-23,,750,CO,Office (Excluding Central & Local Gov'T),LOW RV2900,2017-04-23,,#N/A,,
N01104307050,N01104307050,G Abbott & Sons Ltd,"16, Sussex Street, Bedale, North Yorkshire, DL8 2AL",DL8 2AL,54.28692,-1.59350,Y,2006-10-23,,9900,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-21.87,,
N01104307100,N01104307100,Dobsons Coaches Ltd,"Abbotts Coaches, Sussex Street, Bedale, North Yorkshire, DL8 2AL",DL8 2AL,54.28692,-1.59350,Y,1995-04-01,,8300,CG2,Garage,#N/A,#N/A,,-18.75,,
N01104307150,N01104307150,Bedale Dental Practice Ltd,"., Sussex Street, Bedale, North Yorkshire, DL8 2AL",DL8 2AL,54.28692,-1.59350,Y,2002-05-01,,10250,MH,Surgeries,#N/A,#N/A,,-5032.75,,
N01104650030,N01104650030,,"3, The Courtyard, Market Place, Bedale, North Yorkshire, DL8 1ED",DL8 1ED,54.28899,-1.59221,Y,1999-04-01,,5700,CS3S,"Hairdressing Salon, Store And Premises ",#N/A,#N/A,,-2798.70,,
N01104656510,N01104656510,,"8, Market Place, Bedale, North Yorkshire, DL8 1EQ",DL8 1EQ,54.28859,-1.59260,Y,2016-08-01,,7800,CR,Restaurants,#N/A,#N/A,,-3829.80,,
N01104800010,N01104800010,Orchard Dental Laboratory,"1, The Villas, Bedale, North Yorkshire, DL8 2AB",DL8 2AB,54.28893,-1.59075,Y,2010-01-04,,3400,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1669.40,,
N01104905000,N01104905000,,"The Smithy & Premises, The Wynd, Bedale, North Yorkshire, DL8 1EW",DL8 1EW,54.28914,-1.59413,Y,1995-04-01,,1850,IF3,Workshops,#N/A,#N/A,,-908.35,,
N01105000151,N01105000151,Broadacres Housing Association Ltd,"15a, Tom Hall Court, Bedale, North Yorkshire, DL8 2DT",DL8 2DT,54.28543,-1.58851,Y,2016-04-27,,1450,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N01105100050,N01105100050,,"5, Victoria Terrace, South End, Bedale, North Yorkshire, DL8 2DA",DL8 2DA,54.28745,-1.58960,Y,2014-07-01,,3800,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1550.10,,
N01105200133,N01105200133,Dalescare,"Dales Day Care Centre, Wycar, Bedale, North Yorkshire, DL8 1ER",DL8 1ER,54.28745,-1.59441,Y,2015-04-01,,11750,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-4720.83,,
N01105200135,N01105200135,Exact Formations Ltd,"13e, Wycar, Bedale, North Yorkshire, DL8 1ER",DL8 1ER,54.28745,-1.59441,Y,2013-08-08,,3100,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,#N/A,,
N01105200136,N01105200136,Paul Neasham Accountancy Ltd,"13f, Wycar, Bedale, North Yorkshire, DL8 1ER",DL8 1ER,54.28745,-1.59441,Y,2016-11-01,,930,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-456.63,,
N01105200137,N01105200137,Dalescare,"13g, Wycar, Bedale, North Yorkshire, DL8 1ER",DL8 1ER,54.28745,-1.59441,N,2015-04-01,,1750,CO,Office (Excluding Central & Local Gov'T),LOW RV2900,2017-04-01,,#N/A,,
N01105207000,N01105207000,Bedale Bowling Green Society,"Bowling Green, Wycar, Bedale, North Yorkshire, DL8 1ER",DL8 1ER,54.28745,-1.59441,Y,1995-04-01,,3550,LX,Other Leisure,#N/A,#N/A,,-1520.82,,
N01109000160,N01109000160,Bedale Golf Club Ltd,"Bedale Golf Club, Leyburn Road, Bedale, North Yorkshire, DL8 1EZ",DL8 1EZ,54.29181,-1.59713,Y,1995-04-01,,52500,LS2,Golf Courses,#N/A,#N/A,,-21168.00,,
N01209000050,N01209000050,,"Benningbrough Home Farm, Beningbrough, York, North Yorkshire, YO30 1DB",YO30 1DB,54.02138,-1.20829,Y,2008-04-07,,3250,CS,Shop And Premises,#N/A,#N/A,,-1595.75,,
N01209000101,N01209000101,,"Store 2 Bell Farm, Beningbrough, York, North Yorkshire, YO30 1BZ",YO30 1BZ,54.01260,-1.19262,Y,2005-01-01,,2475,CW3,Stores,#N/A,#N/A,,-1215.23,,
N01209000153,N01209000153,The National Trust,"Beningbrough Hall (National Trust), Beningbrough, York, North Yorkshire, YO30 1DD",YO30 1DD,54.02051,-1.21009,Y,2000-04-01,,0,LX,Other Leisure,#N/A,#N/A,,#N/A,,
N01209000154,N01209000154,The National Trust,"Shop At Beningbrough Hall, Beningbrough, York, North Yorkshire, YO30 1DD",YO30 1DD,54.02051,-1.21009,Y,2000-04-01,,5200,CS,Shop And Premises,#N/A,#N/A,,#N/A,,
N01209000410,N01209000410,,"Workshop & Premises, Lawrence House, Beningbrough, York, North Yorkshire, YO30 1BZ",YO30 1BZ,54.01260,-1.19262,Y,1995-04-01,,5700,IF3,Workshops,#N/A,#N/A,,-2798.70,,
N01209000654,N01209000654,,"The Landings, Beningbrough, York, North Yorkshire, YO30 1BY",YO30 1BY,54.01408,-1.19477,Y,2017-04-01,,2500,CO,Office (Excluding Central & Local Gov'T),#N/A,#N/A,,-1227.50,,
N01209000910,N01209000910,The National Trust,"Laundry Flat, Beningbrough Hall, Beningbrough, York, North Yorkshire, YO30 1DD",YO30 1DD,54.02051,-1.21009,Y,1995-04-01,,5200,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1294.16,,
N01309002300,N01309002300,,"Beak Hills, Chop Gate, Middlesbrough, Cleveland, TS9 7JJ",TS9 7JJ,54.40805,-1.16684,Y,2015-04-01,,1350,CH2,Boarding House,#N/A,#N/A,,-600.66,,
N01309002500,N01309002500,,"Broadfields Cottage, Chop Gate, Middlesbrough, Cleveland, TS9 7JB",TS9 7JB,54.41036,-1.13597,Y,2000-05-30,,5200,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-2034.51,,
N01309002550,N01309002550,,"Buck Hotel, Chop Gate, Middlesbrough, Cleveland, TS9 7JL",TS9 7JL,54.38977,-1.14096,Y,2010-11-01,,10200,CL,Public House,#N/A,#N/A,,-4782.90,,
N01309002750,N01309002750,,"Holiday  Cottage, Cock Flat Farm, Chop Gate, Middlesbrough, Cleveland, TS9 7JE",TS9 7JE,54.39562,-1.16177,Y,2017-04-01,,3800,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1865.80,,
N01309002801,N01309002801,Urra Estate,"Cold Moor Cottages, Chop Gate, Middlesbrough, Cleveland, TS9 7JJ",TS9 7JJ,54.40805,-1.16684,Y,2011-07-01,,8300,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-14.72,,
N01309002900,N01309002900,,"Shepherds Hut Coniser Farm, Chop Gate, Middlesbrough, Cleveland, TS9 7JU",TS9 7JU,54.35278,-1.13267,Y,2016-04-01,,2400,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1097.99,,
N01309003000,N01309003000,,"The Granary & The Cottage, Crossholme Farm, Chop Gate, Middlesbrough, Cleveland, TS9 7JS",TS9 7JS,54.36182,-1.12676,Y,2012-04-30,,6900,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-3366.80,,
N01309003701,N01309003701,,"Crossbill Cottage, Garfitt Farm, Chop Gate, Middlesbrough, Cleveland, TS9 7HY",TS9 7HY,54.39506,-1.13495,Y,2012-07-12,,3050,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1356.34,,
N01309004400,N01309004400,,"Holiday Cottages At, High Ewe Cote, Chop Gate, Middlesbrough, Cleveland, TS9 7LA",TS9 7LA,54.35521,-1.12051,Y,2016-04-01,,10000,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-4198.19,,
N01309004750,N01309004750,,"Holiday Cottage, Bilsdale House, Chop Gate, Middlesbrough, Cleveland, TS9 7HZ",TS9 7HZ,54.41004,-1.12209,Y,2018-09-13,,2400,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1178.40,,
N01309005010,N01309005010,,"Low Crossett Cottage, Chop Gate, Middlesbrough, Cleveland, TS9 7LH",TS9 7LH,54.34397,-1.11515,Y,2013-03-22,,2400,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1097.99,,
N01309005960,N01309005960,,"Forge Cottage, Raisdale Mill, Chopgate, Middlesbrough, Cleveland, TS9 7JG",TS9 7JG,54.39738,-1.17228,Y,1995-04-01,,4050,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1679.28,,
N01309005970,N01309005970,,"Beck Cottage, Raisdale Mill, Chopgate, Middlesbrough, Cleveland, TS9 7JL",TS9 7JL,54.38977,-1.14096,Y,1995-04-01,,2400,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,#N/A,,
N01309006350,N01309006350,North York Moors National Park Authority,"Spout House, Chop Gate, Middlesbrough, Cleveland, TS9 7LQ",TS9 7LQ,54.33425,-1.11848,Y,1997-04-01,,500,EM1,Museums,#N/A,#N/A,,#N/A,,
N01309006755,N01309006755,,"Stone House Barn, Fangdale Beck, Chop Gate, Middlesbrough, Cleveland, TS9 7LF",TS9 7LF,54.34807,-1.12867,Y,2014-06-17,,3700,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1816.70,,
N01309007350,N01309007350,,"The Sun Inn, Chop Gate, Middlesbrough, Cleveland, TS9 7LQ",TS9 7LQ,54.33425,-1.11848,Y,2013-06-01,,1000,CL,Public House,#N/A,#N/A,,-491.00,,
N01309007800,N01309007800,Arqiva Services Ltd,"Transmitter, Chopgate, Middlesbrough, Cleveland, TS9 7JA",TS9 7JA,54.41998,-1.1333,Y,2008-09-22,,174000,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N01309007810,N01309007810,Urra Estate,"Whingroves Farm, Chop Gate, Middlesbrough, Cleveland, TS9 7JB",TS9 7JB,54.41036,-1.13597,Y,2009-05-05,,4650,MX,Other Miscellaneous,#N/A,#N/A,,-5.69,,
N01309007900,N01309007900,North Yorkshire County Council,"Church Of England School, Chop Gate, Middlesbrough, Cleveland, TS9 7JL",TS9 7JL,54.38977,-1.14096,Y,1995-04-01,,3850,EL,Local Authority Schools,#N/A,#N/A,,#N/A,,
N01309008300,N01309008300,Chopgate Village Hall Committee,"Village Hall, Chop Gate, Middlesbrough, Cleveland, TS9 7JT",TS9 7JT,54.35632,-1.12562,Y,1995-04-01,,5000,LC3,Hall,#N/A,#N/A,,-2325.56,,
N01409002005,N01409002005,,"Holiday Cottages,Birdforth Hall, Birdforth, Thirsk, North Yorkshire, YO61 4NW",YO61 4NW,54.17626,-1.25681,Y,2011-12-01,,25750,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-171.65,,
N01409002101,N01409002101,Telefonica Uk Ltd,"Telecomm Mast Site Ref 7022, Cross Lanes, Birdforth, Easingwold, North Yorkshire, YO61 4NW",YO61 4NW,54.17626,-1.25681,Y,2000-11-01,,6000,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N01409002150,N01409002150,,"Burtree  House, Hutton Sessay, Thirsk, North Yorkshire, YO7 3AY",YO7 3AY,54.18479,-1.26185,Y,1996-12-10,,7800,CW,Warehouses,#N/A,#N/A,,-3829.80,,
N01409002450,N01409002450,Tony Chapman T/A T C Farm Services,"Store, Adj. Old School Canteen, Birdforth, Thirsk, North Yorkshire, YO61 2NW",YO61 2NW,54.12496,-1.33267,Y,1992-04-01,,2550,CW3,Stores,#N/A,#N/A,,-1252.05,,
N01509000702,N01509000702,Mobile Broadband Network Ltd,"Telecom Mast Site Ref 95711, Five Mile Bank Farm, Little Smeaton, Northallerton, North Yorkshire, DL6 2HJ",DL6 2HJ,54.41725,-1.44539,Y,2009-09-25,,6200,MT1,Communication Station And Premises,#N/A,#N/A,,#N/A,,
N01609002653,N01609002653,,"B & B And Tearooms, High Paradise, Boltby, Thirsk, North Yorkshire, YO7 2HT",YO7 2HT,54.29198,-1.22826,Y,2015-04-03,,5300,CH2,Boarding House,#N/A,#N/A,,-2260.56,,
N01609002950,N01609002950,,"Holiday Cottage, Hesketh Hall, Boltby, Thirsk, North Yorkshire, YO7 2HU",YO7 2HU,54.27593,-1.23346,Y,2006-08-01,,3350,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1644.85,,
N01609003950,N01609003950,,"Rowan Cottage, Boltby, Thirsk, North Yorkshire, YO7 2DY",YO7 2DY,54.27280,-1.24779,Y,2010-04-01,,1600,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-785.60,,
N01609004551,N01609004551,,"Stable Cottage The Piggeries The Corn Store & Wild Goose Nest, High Paradise Farm, Boltby, Thirsk, North Yorkshire, YO7 2HT",YO7 2HT,54.29198,-1.22826,Y,2016-03-01,,8000,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-3928.00,,
N01609004555,N01609004555,Phoenix Timber Sawmill & Productions Ltd,"The Black Barn,High Paradise Farm, Boltby, Thirsk, North Yorkshire, YO7 2HT",YO7 2HT,54.29198,-1.22826,Y,2012-06-06,,2700,IF3,Workshops,#N/A,#N/A,,-1325.70,,
N01609004850,N01609004850,Mount St John Llp,"West Acre Lodge, Boltby, Thirsk, North Yorkshire, YO7 2DX",YO7 2DX,54.26914,-1.26271,Y,2014-05-02,,16500,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-21.38,,
N01609004851,N01609004851,Mount St John Equestrian Llp,"Stables At West Acre Lodge, Boltby, Thirsk, North Yorkshire, YO7 2DX",YO7 2DX,54.26914,-1.26271,Y,2014-01-01,,1500,LX,Other Leisure,#N/A,#N/A,,#N/A,,
N01609005000,N01609005000,,"Granary Cottage, Boltby, Thirsk, North Yorkshire, YO7 2DY",YO7 2DY,54.27280,-1.24779,Y,2000-04-30,,3050,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1497.55,,
N01609005160,N01609005160,," Studio Flat, Willow Tree Cottage, Boltby, Thirsk, North Yorkshire, YO7 2DY",YO7 2DY,54.27280,-1.24779,Y,2012-12-15,,4050,CH1,Self Catering Holiday Unit And Premises,#N/A,#N/A,,-1550.10,,
N01609005650,N01609005650,Boltby Village Hall Committee,"Village Hall, Boltby, Thirsk, North Yorkshire, YO7 2DY",YO7 2DY,54.27280,-1.24779,Y,1995-04-01,,1125,LC3,Hall,#N/A,#N/A,,-516.70,,
N01609005750,N01609005750,,"Treatment Works, Boltby, Thirsk, North Yorkshire, YO7 2HU",YO7 2HU,54.27593,-1.23346,Y,2013-03-01,,4900,IF3,Workshops,#N/A,#N/A,,-2405.90,,
