Property reference number,BA reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Empty from,Rateable value,VOA code,VOA description,Exemptions,Exemption start date,Relief types,Relief total,Relief mandatory,Relief discretionary
103086250500,,Yorkshire Wildlife Trust Ltd,"Car Park, Wharfedale, Filey, North Yorkshire, YO14 0DG",YO14 0DG,54.20835,-0.29931,Y,1990-04-01,,800,CP,Car Parks & Parking Spaces,,,20% Discretionary Top Up Relief,,,
104025750505,,F Robinson & Sons Ltd,"Robinson F & Sons Store, Filey Road, Flixton, Scarborough, North Yorkshire, YO11 3UB",YO11 3UB,54.20183,-0.40662,Y,1990-04-01,,3050,CW3,Store,,,,,,
104025750540,,F Robinson & Sons Ltd,"Builders Yard, Main Street, Flixton, Scarborough, North Yorkshire, YO11 3UB",YO11 3UB,54.20183,-0.40662,Y,1990-04-01,,7400,IF3,Workshop,,,Supporting Small Business Relief (SSB),,,
104026050510,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Carr Lane, Folkton Carr, Folkton, Scarborough, North Yorkshire, YO14 0EN",YO14 0EN,54.20247,-0.31559,Y,1990-04-01,,34000,NW,Sewage Treatment Works & Premises,,,,,,
107041520500,,Flower Of May Ltd,"Caravan Site, Flower Of May Farm, Lebberston, Scarborough, North Yorkshire, YO11 3NU",YO11 3NU,54.23378,-0.33707,Y,1990-04-01,,167000,CC1,Caravan Site,,,Revaluation 2017 Discretionary Year 3,,,
107041520505,,Flower Of May Holiday Park Ltd,"The Plough, Boak End, Lebberston, Scarborough, North Yorkshire, YO11 3NX",YO11 3NX,54.23091,-0.34519,Y,1990-04-01,,41500,CL,Public House,,,Retail Discount,,,
108013150500,,Legrand Electric Limited,"Legrand Electric Ltd, Cayton Low Road, Scarborough, North Yorkshire, YO11 3BY",YO11 3BY,54.2379,-0.40419,Y,1990-04-01,,193000,IF,Factories,,,Revaluation 2017 Discretionary Year 3,,,
108013150520,,Schneider Ltd,"Schneider Ltd, Cayton Low Road, Scarborough, North Yorkshire, YO11 3DA",YO11 3DA,54.23754,-0.405,Y,1990-04-01,,123000,IF,Factories,,,,,,
108013150525,,Acs & T Seamer Ltd,"Seamer Transport Ltd, Cayton Low Road, Scarborough, North Yorkshire, YO11 3BY",YO11 3BY,54.2379,-0.40419,Y,1990-04-01,,28000,CG4,Vehicle Repair Workshop And Premises,,,,,,
108013150530,,Mccain Foods [Gb] Ltd,"Mccain Foods (G.B.) Ltd, Warehouse, Cayton Low Road, Scarborough, North Yorkshire, YO11 3BY",YO11 3BY,54.2379,-0.40419,Y,1990-04-01,,290000,CW,Warehouses,,,,,,
108013150540,,Castle Associates Ltd,"Castle Group Ltd, Salter Road, Scarborough, North Yorkshire, YO11 3UZ",YO11 3UZ,54.23796,-0.41198,Y,1990-04-01,,17250,IF,Factories,,,,,,
108013150545,,Dale Power Solutions Ltd,"Dale Power Solutions Ltd, Salter Road, Scarborough, North Yorkshire, YO11 3DU",YO11 3DU,54.23862,-0.41079,Y,1990-04-01,,136000,IF,Factories,,,,,,
108045150555,,Tw Tindall & Son Ltd,"Adj 116, Main Street, Cayton, Scarborough, North Yorkshire, YO11 3RP",YO11 3RP,54.23427,-0.38107,Y,1990-04-01,,4600,IF3,Workshop,,,Small Business Relief England,,,
109013300510,,Booker Cash & Carry Ltd Group Property Department,"Booker Cash & Carry, Cayton Low Road, Scarborough, North Yorkshire, YO11 3BY",YO11 3BY,54.2379,-0.40419,Y,1990-04-01,,92500,CW,Warehouses,,,,,,
109020770585,,North Sea Winches Ltd,"North Sea Winches, Dunslow Road, Eastfield, Scarborough, North Yorkshire, YO11 3UT",YO11 3UT,54.23805,-0.41434,Y,1990-04-01,,62500,IF,Factories,,,Revaluation 2017 Discretionary Year 3,,,
109045450575,,Riverside Eastern Ltd,"Riverside Eastern Ltd, Main Street, Seamer, Scarborough, North Yorkshire, YO12 4RF",YO12 4RF,54.23926,-0.44445,Y,1990-04-01,,34000,CG3,"Petrol Filling Station, Showroom & Prems",,,,,,
109060750505,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Ratten Row, Seamer, Scarborough, North Yorkshire, YO12 4QB",YO12 4QB,54.23315,-0.44549,Y,1990-04-01,,158000,NW,Sewage Treatment Works & Premises,,,,,,
109118250550,,Brandsby Agricultural Trading Association Ltd,"Bata Ltd A64, Eastfield, Scarborough, North Yorkshire, YO11 3YQ",YO11 3YQ,54.23985,-0.41742,Y,1990-04-01,,17500,CW,Warehouses,,,,,,
115089550540,,Dawnay Estates Ltd,"The Estate Office, Wykeham, Scarborough, North Yorkshire, YO13 9QP",YO13 9QP,54.23476,-0.52189,Y,1990-04-01,,19750,CO,Office (Excluding Central & Local Gov'T),,,,,,
115089550545,,St Helens In The Park Ltd,"St Helens Caravan Park, Wykeham, Scarborough, North Yorkshire, YO13 9QP",YO13 9QP,54.23476,-0.52189,Y,1990-04-01,,72000,CC,Camping Site,,,Revaluation 2017 Discretionary Year 3,,,
116045000500,,Hardwick Agricultural Engineers Ltd,"Hardwick Agricultural Engineer, Main Road, Brompton-By-Sawdon, Scarborough, North Yorkshire, YO13 9DP",YO13 9DP,54.22778,-0.55134,Y,1990-04-01,,37000,CW,Warehouses,,,Retail Discount,,,
117074150505,,Fa Stockill & Son Builders Ltd,"9, Station Road, Snainton, Scarborough, North Yorkshire, YO13 9AP",YO13 9AP,54.22622,-0.59059,Y,1990-04-01,,6100,IF3,Workshop,,,Small Business Relief England,,,
118279500500,,Arqiva Services Ltd,"National Grid Wireless Site I.D, 141506, Raincliffe Woods, Scarborough, North Yorkshire, YO12 5RJ",YO12 5RJ,54.28184,-0.4494,Y,1990-04-01,,32250,MT1,Transmitting Station,,,,,,
118366100500,,Gw Proudfoot Ltd,"403, Scalby Road, Scarborough, North Yorkshire, YO12 6TG",YO12 6TG,54.2928,-0.43739,Y,1990-04-01,,255000,CS,Shops,,,,,,
124052050500,,Cober Hill Ltd,"Cober Hill, Newlands Road, Cloughton, Scarborough, North Yorkshire, YO13 0AR",YO13 0AR,54.34376,-0.44614,Y,1990-04-01,,74000,CH2,Boarding House,,,Mandatory Charity Relief,,,
126032750535,,Scar & Dist Motor Club Ltd,"Low North Camp, Harwood Dale, Scarborough, North Yorkshire, YO13 0LA",YO13 0LA,54.34976,-0.53384,Y,1990-04-01,,2850,LX,Other Leisure,,,Small Business Relief England,,,
129027000540,,Yha (England & Wales) Ltd,"Mill Beck, Boggle Hole, Fylingthorpe, Whitby, North Yorkshire, YO22 4UQ",YO22 4UQ,54.42058,-0.5344,Y,1990-04-01,,29000,MR,"Residential Homes,Hostels Etc",,,Mandatory Charity Relief,,,
129027050570,,Fylinghall School Trust Ltd,"Woodside, Fylingthorpe, Whitby, North Yorkshire, YO22 4QE",YO22 4QE,54.4249,-0.55758,Y,1990-04-01,,4000,EP,Private Schools & Colleges,,,Mandatory Charity Relief,,,
130028600585,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Oakley Hole, Goathland, Whitby, North Yorkshire, YO22 5AS",YO22 5AS,54.41298,-0.7432,Y,1990-04-01,,5500,NW,Sewage Treatment Works & Premises,,,,,,
131069100530,,M Lonsdale Joinery Ltd,"Monks Farm Workshop, Sneaton, Whitby, North Yorkshire, YO22 5HP",YO22 5HP,54.45727,-0.62606,Y,1990-04-01,,1475,IF3,Workshop,,,Small Business Relief England,,,
131069200525,,S L Body Repairs Ltd,"Sneaton Lane Garage, Sneaton Lane, Ruswarp, Whitby, North Yorkshire, YO22 5HL",YO22 5HL,54.46864,-0.62816,Y,1990-04-01,,13500,CG1,Vehicle Repair Workshop,,,Small Business Relief England,,,
132021950515,,Jw Mortimer Ltd,"Horseshoe Buildings, Egton, Whitby, North Yorkshire, YO21 1TZ",YO21 1TZ,54.44762,-0.75465,Y,1990-04-01,,7500,IF3,Workshop,,,Small Business Relief England,,,
132021950580,,Arqiva Services Ltd,"Limber Hill, Egton, Whitby, North Yorkshire, YO21 2QN",YO21 2QN,54.43951,-0.78763,Y,1990-04-01,,23250,MT1,Transmitting Station,,,,,,
132021950615,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Egton, Whitby, North Yorkshire, YO21 2QP",YO21 2QP,54.44796,-0.79113,Y,1990-04-01,,8500,NW,Sewage Treatment Works & Premises,,,,,,
133033250505,,Northcliffe & Seaview Holiday Parks Ltd,"Northcliffe Caravan Site, Hawsker, Whitby, North Yorkshire, YO22 4LL",YO22 4LL,54.45821,-0.55437,Y,1990-04-01,,81600,CC1,Caravan Site,,,Revaluation 2017 Discretionary Year 3,,,
134016050525,,E Botham & Son Ltd,"73, Coach Road, Sleights, Whitby, North Yorkshire, YO22 5BT",YO22 5BT,54.45671,-0.66418,Y,1990-04-01,,2250,CS,Shops,,,,,,
134069050500,,The Caravan Club Ltd,"Low Moor Caravan Club Site, Sneaton, Whitby, North Yorkshire, YO22 5JD",YO22 5JD,54.42256,-0.63215,Y,1990-04-01,,21000,CC1,Caravan Site,,,Revaluation 2017 Discretionary Year 3,,,
135054030500,,Ladbrokes Betting & Gaming Ltd,"The Vaults, Old Market Place, Whitby, North Yorkshire, YO21 3BT",YO21 3BT,54.48684,-0.61394,Y,1990-04-01,,17500,CS2,Betting Shop,,,,,,
135064650530,,Whitby Glass Company Ltd,"9, Sandgate, Whitby, North Yorkshire, YO22 4DB",YO22 4DB,54.48752,-0.61264,Y,1990-04-01,,17500,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
135173200525,,Supreme Plastics Ltd,"Supreme Plastics Ltd, Stainsacre Lane, Whitby, North Yorkshire, YO22 4PT",YO22 4PT,54.47,-0.59698,Y,1990-04-01,,96000,IF,Factories,,,,,,
135173200535,,Lockers Trawlers Ltd,"Unit 2, Industrial Estate, Stainsacre Lane, Whitby, North Yorkshire, YO22 4PU",YO22 4PU,54.47135,-0.59574,Y,1990-04-01,,10000,IF3,Workshop,,,Small Business Relief England,,,
135404950750,,Boots Uk Ltd,"64 - 66, Baxtergate, Whitby, North Yorkshire, YO21 1BL",YO21 1BL,54.48596,-0.61525,Y,1990-04-01,,77500,CS,Shops,,,,,,
135425900665,,Bairstow Eves North East Ltd,"27, Flowergate, Whitby, North Yorkshire, YO21 3BB",YO21 3BB,54.48679,-0.61542,Y,1990-04-01,,9900,CS,Shops,,,,,,
135468750580,,Elizabeth Botham & Sons Ltd,"35 - 39, Skinner Street, Whitby, North Yorkshire, YO21 3AH",YO21 3AH,54.4873,-0.61732,Y,1990-04-01,,27750,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
135468750585,,Youngs Jewellers Limited,"45, Skinner Street, Whitby, North Yorkshire, YO21 3AH",YO21 3AH,54.4873,-0.61732,Y,1990-04-01,,3100,CS,Shops,,,Small Business Relief England,,,
135471400510,,John Bull Confectioners Ltd,"4, St Anns Staith, Whitby, North Yorkshire, YO21 3PW",YO21 3PW,54.48724,-0.61434,Y,1990-04-01,,9300,CS,Shops,,,Retail Discount,,,
135474450505,,W Boyes & Co Ltd,"9, Station Square, Whitby, North Yorkshire, YO21 1DU",YO21 1DU,54.48518,-0.61616,Y,1990-04-01,,80500,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
135478870585,,Certas Energy Uk Limited,"Eves W & Co, Oil Storage Tanks Under, Pier Road, Whitby, North Yorkshire, YO21 3PU",YO21 3PU,54.48919,-0.61491,Y,1990-04-01,,11750,IX,Other Industrial,,,,,,
135571100500,,Trillos Of Whitby Ltd,"Trillo Brothers, Spring Hill, Whitby, North Yorkshire, YO21 1EB",YO21 1EB,54.48446,-0.6181,Y,1990-04-01,,11500,IF,Factories,,,,,,
135571100505,,Trillos Of Whitby Ltd,"Shop Adj Trillos Brothers, Spring Hill, Whitby, North Yorkshire, YO21 1EB",YO21 1EB,54.48446,-0.6181,Y,1990-04-01,,4800,CS,Shops,,,Retail Discount,,,
135614350525,,Certas Energy Uk Limited,"Storage Depot, Cholmley Way, Whitby, North Yorkshire, YO21 4NQ",YO21 4NQ,,NaN,01/04/1990,,14750,NaN,Storage Depot,,,,,,,
135681050500,,Geo Harrison [Whitby] Ltd,"Filling Station, Flowergate Cross, Upgang Lane, Whitby, North Yorkshire, YO21 3JD",YO21 3JD,54.49027,-0.6313,Y,1990-04-01,,17500,CG,Petrol Filling Station,,,Retail Discount,,,
135683600535,,Co-Operative Group Limited,"Chapel Of Rest, Well Close Square, Whitby, North Yorkshire, YO21 3AP",YO21 3AP,54.48748,-0.61873,Y,1990-04-01,,9500,CX,Other Commercial,,,,,,
136000950550,,Arqiva Services Ltd,"Tv Relay Station, Adj Toft House Farm, Aislaby, Whitby, North Yorkshire, YO21 2SW",YO21 2SW,,NaN,01/04/1990,,19000,NaN,Transmitting Station,,,,,,,
137051700550,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Newholm, Whitby, North Yorkshire, YO21 3QT",YO21 3QT,54.48426,-0.66281,Y,1990-04-01,,2325,NW,Sewage Treatment Works & Premises,,,,,,
140028150580,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Glaisdale, Whitby, North Yorkshire, YO21 2PL",YO21 2PL,54.4383,-0.80686,Y,1990-04-01,,6700,NW,Sewage Treatment Works & Premises,,,,,,
140035550520,,Robert Harrison & Sons (Funeral Directors) Ltd,"Robert Harrison & Sons, Carr End, Glaisdale, Whitby, North Yorkshire, YO21 2QH",YO21 2QH,54.43701,-0.79796,Y,1990-04-01,,13250,IF3W,Workshop Workshop And Premises,,,Retail Discount,,,
140141400575,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Lealholm, Whitby, North Yorkshire, YO21 2AQ",YO21 2AQ,54.45844,-0.82727,Y,1990-04-01,,3400,NW,Sewage Treatment Works & Premises,,,,,,
141080750545,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Ugthorpe, Whitby, North Yorkshire, YO21 2BQ",YO21 2BQ,54.4898,-0.7714,Y,1990-04-01,,2900,NW,Sewage Treatment Works & Premises,,,,,,
142004630510,,Yorkshire Water Services Ltd,"Sewage Disposal Works, East Barnby, Whitby, North Yorkshire, YO21 3QT",YO21 3QT,54.48426,-0.66281,Y,1990-04-01,,2800,NW,Sewage Treatment Works & Premises,,,,,,
143008000505,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Botton, Danby, Whitby, North Yorkshire, YO21 2NL",YO21 2NL,54.42381,-0.94645,Y,1990-04-01,,4300,NW,Sewage Treatment Works & Premises,,,,,,
143019350530,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Danby, Whitby, North Yorkshire, YO21 2NN",YO21 2NN,54.43582,-0.9399,Y,1990-04-01,,11000,NW,Sewage Treatment Works & Premises,,,,,,
143135050545,,Co-Operative Group Limited,"8, High Street, Castleton, Whitby, North Yorkshire, YO21 2DA",YO21 2DA,54.4635,-0.94267,Y,1990-04-01,,11000,CS,Shops,,,,,,
144083950530,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Westerdale, Whitby, North Yorkshire, YO21 2DT",YO21 2DT,54.444,-0.97654,Y,1990-04-01,,1925,NW,Sewage Treatment Works & Premises,,,,,,
145047800515,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Mickleby, Saltburn, Cleveland, TS13 5LS",,,,Y,1990-04-01,,2650,NW,Sewage Treatment Works & Premises,,,,,,
146016750530,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Commondale, Whitby, North Yorkshire, YO21 2HG",YO21 2HG,54.48584,-0.97959,Y,1990-04-01,,2650,NW,Sewage Treatment Works & Premises,,,,,,
151035900670,,Hinderwell Service Station Ltd,"152, High Street, Hinderwell, Saltburn, Cleveland, TS13 5HQ", TS13 5HQ,,,Y,1990-04-01,,7900,CG,Petrol Filling Station,,,DISCRETIONARY RURAL RATE RELIEF,,,
151063500615,,Andercote Ltd,"Runswick Bay Caravan Park, Hinderwell Lane, Runswick, Saltburn-By-Sea, Cleveland, TS13 9HR", TS13 9HR,,,Y,1990-04-01,,15900,CC1,Caravan Site,,,Small Business Relief England,,,
151186830500,,Whitby Seafish Ltd,"Unit 1, Whitegate Close, Staithes, Saltburn, Cleveland, TS13 5BB", TS13 5BB,,,Y,1990-04-01,,5200,IF3,Workshop,,,Small Business Relief England,,,
152030650525,,Yorkshire Water Services Ltd,"Sewage Disposal Works, Grosmont, Whitby, North Yorkshire, YO22 5QW",YO22 5QW,54.43514,-0.72415,Y,1990-04-01,,5800,NW,Sewage Treatment Works & Premises,,,,,,
170003250510,,T L Chapman & Son Ltd,"19 - 21, Auborough Street, Scarborough, North Yorkshire, YO11 1HT",YO11 1HT,54.28567,-0.39798,Y,1990-04-01,,9000,IF3,Workshop,,,,,,
170020950510,,Wherritt Ltd J H,"5 - 7, Eastborough, Scarborough, North Yorkshire, YO11 1NG",YO11 1NG,54.28335,-0.39594,Y,1990-04-01,,14000,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
170021520530,,G T & A Tuby Ltd,"Amusement Park The Jetty, East Pier, The Harbour, Scarborough, North Yorkshire, YO11 1PG",YO11 1PG,54.28426,-0.38845,Y,1990-04-01,,64000,LT4,Amusement Arcade And Premises,,,,,,
170026150665,,H S Hodgson Scarborough Ltd,"28 - 28a, Foreshore Road, Scarborough, North Yorkshire, YO11 1PB",YO11 1PB,54.28345,-0.39435,Y,1990-04-01,,34000,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
170051500545,,A & G Amusements Ltd,"41-42, Newborough, Scarborough, North Yorkshire, YO11 1NF",YO11 1NF,54.28306,-0.39727,Y,1990-04-01,,24500,LT1,Amusement Arcade,,,,,,
170059550515,,Northern Marine Electrics Ltd,"Gnd Floor, 22, Quay Street, Scarborough, North Yorkshire, YO11 1PL",YO11 1PL,54.28436,-0.38897,Y,1990-04-01,,2850,IF3,Workshop,,,Small Business Relief England,,,
170085650500,,Ae & M Clayton (Scarborough) Ltd,"1-3, West Sandgate, Scarborough, North Yorkshire, YO11 1QL",YO11 1QL,54.28444,-0.39301,Y,1990-04-01,,4150,CR1,Cafe,,,Small Business Relief England,,,
170112750865,,Clear Channel Uk Ltd,"Advertising Right (Adshel 39060035), Castle Road, Scarborough, North Yorkshire, YO11 1XE",YO11 1XE,54.28503,-0.40266,Y,1990-04-01,,450,CA,Advertising Right,,,,,,
170137850570,,Shipton & Co Ltd,"29, Huntriss Row, Scarborough, North Yorkshire, YO11 2ED",YO11 2ED,54.28145,-0.4004,Y,1990-04-01,,15250,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
170144700505,,H Pickup Mechanical & Electrical Services Ltd,"8, Lower Clark Street, Scarborough, North Yorkshire, YO12 7PP",YO12 7PP,54.28607,-0.40413,Y,1990-04-01,,28750,CO,Office (Excluding Central & Local Gov'T),,,Revaluation 2017 Discretionary Year 3,,,
170146270505,,Central Tramway Scar Ltd,"Cliff Lift, Marine Parade, Scarborough, North Yorkshire, YO11 2ER",YO11 2ER,54.28098,-0.39844,Y,1990-04-01,,16500,LX,Other Leisure,,,,,,
170151450565,,T L Chapman & Son Ltd,"2 - 8, New Queen Street, Scarborough, North Yorkshire, YO12 7HL",YO12 7HL,54.28615,-0.40033,Y,1990-04-01,,7500,CG2,Garage,,,,,,
170151550500,,Shoe Zone Ltd,"1, Newborough, Scarborough, North Yorkshire, YO11 1NA",YO11 1NA,54.28274,-0.39871,Y,1990-04-01,,79500,CS,Shops,,,,,,
170151550505,,Tui Uk Ltd,"2, Newborough, Scarborough, North Yorkshire, YO11 1NA",YO11 1NA,54.28274,-0.39871,Y,1990-04-01,,42250,CS,Shops,,,,,,
170151550765,,C & J Clark International Ltd,"Adj, 86, Newborough, Scarborough, North Yorkshire, YO11 1EN",YO11 1EN,54.28242,-0.39947,Y,1990-04-01,,74500,CS,Shops,,,,,,
170153100525,,Minds Matter (Trading Act) Ltd,"7 - 9, North Marine Road, Scarborough, North Yorkshire, YO12 7EY",YO12 7EY,54.28685,-0.40115,Y,1990-04-01,,8300,CS,Shops,,,Mandatory Charity Relief,,,
170153350595,,National Car Parks Limited,"Multi Storey Car Park, North Street, Scarborough, North Yorkshire, YO11 1DE",YO11 1DE,54.28454,-0.40251,Y,1990-04-01,,94000,CP,Car Parks & Parking Spaces,,,,,,
170159850660,,W Boyes & Co Ltd,"43-45, Queen Street, Scarborough, North Yorkshire, YO11 1HQ",YO11 1HQ,54.28413,-0.39879,Y,1990-04-01,,112000,CS,Shops,,,,,,
170172600560,,Bright & Sons Ltd,"27 - 28, St Nicholas Street, Scarborough, North Yorkshire, YO11 2HF",YO11 2HF,54.28224,-0.39902,Y,1990-04-01,,22000,CS,Shops,,,Retail Discount,,,
170172850555,,Cph Estate Agents Ltd Clients Account,"19, St Thomas Street, Scarborough, North Yorkshire, YO11 1DY",YO11 1DY,54.28368,-0.39984,Y,1990-04-01,,8700,CS,Shops,,,Small Business Relief England,,,
170181500500,,Iceland Frozen Foods Ltd,"Iceland Frozen Foods Ltd, Vernon Road, Scarborough, North Yorkshire, YO11 2PS",YO11 2PS,54.2794,-0.39931,Y,1990-04-01,,55000,CS,Shops,,,,,,
170201100500,,Mecca Bingo Ltd 3164,"1 - 5, Albemarle Crescent, Scarborough, North Yorkshire, YO11 1XS",YO11 1XS,54.28183,-0.40408,Y,1990-04-01,,84500,LT2,Bingo Hall,,,,,,
170202550500,,Rayner And Co Ltd,"6, Arundel Place, Scarborough, North Yorkshire, YO11 1TX",YO11 1TX,54.2783,-0.40827,Y,1990-04-01,,22500,CO,Office (Excluding Central & Local Gov'T),,,Revaluation 2017 Discretionary Year 3,,,
170283850545,,H Samuel Ltd,"11, Westborough, Scarborough, North Yorkshire, YO11 1UN",YO11 1UN,54.28061,-0.40418,Y,1990-04-01,,77000,CS,Shops,,,,,,
170283850755,,Jm Glendinning Insurance Brokers North Yorkshire Limited,"54 - 55, Westborough, Scarborough, North Yorkshire, YO11 1TU",YO11 1TU,54.27853,-0.40812,Y,1990-04-01,,25500,CO,Office (Excluding Central & Local Gov'T),,,Revaluation 2017 Discretionary Year 3,,,
170283850795,,Winn & Co (Yorkshire) Ltd,"62 - 63, Westborough, Scarborough, North Yorkshire, YO11 1TS",YO11 1TS,54.27899,-0.40809,Y,1990-04-01,,25000,CO,Office (Excluding Central & Local Gov'T),,,Revaluation 2017 Discretionary Year 3,,,
170283851170,,Clear Channel Uk Ltd,"Advertising Right (Arthur Maiden Ltd No 8022) Bus Shelter, Westborough, Scarborough, North Yorkshire, YO11 1UN",YO11 1UN,54.28061,-0.40418,Y,1990-04-01,,650,CA,Advertising Right,,,,,,
170283851175,,Clear Channel Uk Ltd,"Advertising Right No 8026 At Bus Shelter, Westborough, Scarborough, North Yorkshire, YO11 1UN",YO11 1UN,54.28061,-0.40418,Y,1990-04-01,,650,CA,Advertising Right,,,,,,
170283851180,,Clear Channel Uk Ltd,"Adverising Right No 8027 At Bus Shelter, Westborough, Scarborough, North Yorkshire, YO11 1JW",YO11 1JW,54.28111,-0.40446,Y,1990-04-01,,650,CA,Advertising Right,,,,,,
170283900525,,Scarborough & District Motor Services Ltd,"United Automobile Services, Bus Park, Westwood, Scarborough, North Yorkshire, YO11 2PN",YO11 2PN,54.27851,-0.40488,Y,1990-04-01,,23750,CW1O,"Bus Parking Land, Office And Premises",,,,,,
170289900570,,Castle Employment Agency Ltd,"15, York Place, Scarborough, North Yorkshire, YO11 2NP",YO11 2NP,54.28031,-0.40295,Y,1990-04-01,,7000,CO,Office (Excluding Central & Local Gov'T),,,,,,
170306300520,,Arctic Foods Ltd,"14a, Belle Vue Street, Scarborough, North Yorkshire, YO12 7EP",YO12 7EP,54.28029,-0.40993,Y,1990-04-01,,9800,CW,Warehouses,,,Small Business Relief England,,,
170328050505,,Reg Dennis & Co Ltd,"5, Gladstone Road, Scarborough, North Yorkshire, YO12 7BQ",YO12 7BQ,54.2819,-0.41074,Y,1990-04-01,,5100,CS,Shops,,,Retail Discount,,,
170382050545,,Electrodec Limited,"109 - 111, Victoria Road, Scarborough, North Yorkshire, YO11 1SP",YO11 1SP,54.2804,-0.40803,Y,1990-04-01,,14000,CS,Shops,,,Retail Discount,,,
170382050615,,Squire Of Scar Ltd,"135 - 137, Victoria Road, Scarborough, North Yorkshire, YO11 1SY",YO11 1SY,54.27929,-0.40904,Y,1990-04-01,,22500,CS,Shops,,,Revaluation 2017 Discretionary Year 3,,,
170512800545,,Ladbrokes Betting & Gaming Ltd,"22a, Castle Road, Scarborough, North Yorkshire, YO11 1XA",YO11 1XA,54.28393,-0.40416,Y,1990-04-01,,4650,CS2,Betting Shop,,,,,,
170515800520,,Sportsphoto Ltd,"20, Clifton Street, Scarborough, North Yorkshire, YO12 7SR",YO12 7SR,54.28419,-0.40461,Y,1990-04-01,,7900,CO,Office (Excluding Central & Local Gov'T),,,Small Business Relief England,,,
170516650520,,Gt Garages (Scarborough) Ltd,"G T Garages (Scarborough) Ltd, Columbus Ravine, Scarborough, North Yorkshire, YO12 7JT",YO12 7JT,54.28423,-0.41148,Y,1990-04-01,,39750,CG3,"Petrol Filling Station, Showroom & Prems",,,Retail Discount,,,
170516650570,,Brian Anderson & Son Ltd,"Workshop, Ro 16, Columbus Ravine, Scarborough, North Yorkshire, YO12 7JT",YO12 7JT,54.28423,-0.41148,Y,1990-04-01,,1600,IF3,Workshop,,,Small Business Relief England,,,
