Property reference number,Ratepayer,Address,Postcode,Latitude,Longitude,Liability start date,Current Analysis Code Description,Rateable value,Current Relief Type,Current Relief Type Description,Current Relief Award Start Date,Current Relief Award End Date,Current Property Exemption Code,Current Prop Exemption Description,Current Prop Exemption Start Date,Current Prop Exemption End Date
46880000331N,,"33, Queensgate, Huddersfield, HD1 2RD",HD1 2RD,53.64419,-1.78004,2014-09-13,Shops,7300,SBRE,Small Business Relief England,2014-09-13,,,,,
00570006037N,,"3rd Flr, Alexandra Mills, Alexandra Road, Batley, WF17 6JB",WF17 6JB,53.70736,-1.62578,2017-06-01,Warehouses,4300,SBRE,Small Business Relief England,2017-12-01,,,,,
35700001620N,,"162, Manchester Road, Huddersfield, HD1 3JA",HD1 3JA,53.64205,-1.79495,2018-02-02,Shops,3350,SBRE,Small Business Relief England,2018-02-02,,,,,
42340000095N,Axflow Ltd,"Unit 9a Fieldhouse Park, Old Fieldhouse Lane, Huddersfield, HD2 1FA",HD2 1FA,53.66447,-1.75896,2008-06-09,Warehouses,44000,,,,,,,,
21250000349N,Axis Flooring Ltd,"New Mill, Unit 3, George Street, Milnsbridge, Huddersfield, HD3 4JD",HD3 4JD,53.64030,-1.82309,2010-04-01,Warehouses,12250,SBRE,Small Business Relief England,2010-04-01,,,,,
19180002050N,Axis Group Ltd T/A Select & Save,"12, Field Head, Kirkheaton, Huddersfield, HD5 0JH",HD5 0JH,53.65708,-1.73068,2000-07-01,Shops,12750,SBRE,Small Business Relief England,2006-04-01,,,,,
28670004560N,,"Three Nuns Self Serve, Leeds Road, Mirfield, WF14 0BY",WF14 0BY,53.68704,-1.72287,2000-11-24,Petrol Filling Station,47250,,,,,,,,
05720000160N,,"16, Bradford Road, Fartown, Huddersfield, HD1 6HY",HD1 6HY,53.65357,-1.78147,2018-08-01,Cafes,4500,SBRE,Small Business Relief England,2018-08-01,,,,,
07200000020N,Aye Creative Ltd,"2, Brooks Yard, Huddersfield, HD1 2EP",HD1 2EP,53.64662,-1.78373,2017-09-28,Shops,8700,SBRE,Small Business Relief England,2017-09-28,,,,,
36420000700N,,"70, Market Street, Milnsbridge, Huddersfield, HD3 4HT",HD3 4HT,53.64133,-1.82646,2006-03-06,Shops,3700,SBRE,Small Business Relief England,2006-04-01,,,,,
05643400231N,,"Unit 22, Batley Enterprise Centre, 513 Bradford Road, Batley, WF17 8LL",WF17 8LL,53.71872,-1.64108,2018-08-01,Office (Excluding Central & Local Gov'T),1375,SBRE,Small Business Relief England,2018-08-01,,,,,
50080001543N,,"Unit 2a, Savile Bridge Mills, Savile Road, Savile Town, Dewsbury, WF12 9AF",WF12 9AF,53.68726,-1.62984,2018-04-01,Warehouses,5900,SBRE,Small Business Relief England,2018-04-01,,,,,
11440000035N,,"One Four Seven Snooker Club, Dual House, Wellington Street, Batley, WF17 5TH",WF17 5TH,53.71211,-1.63988,2016-11-07,Club (Social),7000,SBRE,Small Business Relief England,2016-11-07,,,,,
06160300090N,,"Unit 209, Bretton Street Enterprise Centre, Bretfield Court, Bretton Street, Dewsbury, WF12 9DB",WF12 9DB,53.67949,-1.62677,2016-11-07,Workshops,3850,SBRE,Small Business Relief England,2016-11-07,,,,,
33690002500N,,"250, Lockwood Road, Lockwood, Huddersfield, HD1 3TG",HD1 3TG,53.63389,-1.79438,2018-09-09,Launderettes,6600,SBRE,Small Business Relief England,2018-09-09,,,,,
52150001402N,,"140a, Slaithwaite Road, Thornhill Lees, Dewsbury, WF12 9DW",WF12 9DW,53.67357,-1.63015,1990-04-01,Shops,6200,SBRE,Small Business Relief England,2005-04-01,,,,,
05690102040N,,"The Steak Bus, Adjacent 1a Albion Mills, Bradford Road, Dewsbury, WF13 2HD",WF13 2HD,53.70087,-1.63061,2017-04-24,Cafes,3200,SBRE,Small Business Relief England,2017-04-24,,,,,
62000006016N,,"601b, Wakefield Road, Dalton, Huddersfield, HD5 9XP",HD5 9XP,53.64519,-1.73744,2018-01-15,Shops,2950,SBRE,Small Business Relief England,2018-01-15,,,,,
37650092000N,,"Unit 6, Cut End Mills, Mill Street East, Savile Town, Dewsbury, WF12 9BQ",WF12 9BQ,53.68173,-1.62304,2016-01-01,Workshops,7000,SBRE,Small Business Relief England,2016-01-01,,,,,
26190000041N,,"4, High Street, Huddersfield, HD1 2LS",HD1 2LS,53.64474,-1.78364,2017-10-03,Shops,19750,,,,,CCC,Listed building,03/10/2017,31/03/2019
26190000042N,,"6, High Street, Huddersfield, HD1 2LS",HD1 2LS,53.64474,-1.78364,2017-10-03,Shops,20500,,,,,CCC,Listed building,03/10/2017,31/03/2019
65250000060N,,"6, Willans Road, Dewsbury, WF13 2NX",WF13 2NX,53.69400,-1.63473,2007-02-21,Shops,2375,SBRE,Small Business Relief England,2007-02-21,,,,,
05720001251N,,"125, Bradford Road, Fartown, Huddersfield, HD1 6DZ",HD1 6DZ,53.65563,-1.78255,2015-09-01,Office (Excluding Central & Local Gov'T),5500,EPRN,Empty Property Rate Non-Industrial,2015-12-01,,,,,
28671100300N,,"Unit 1a, Huddersfield Road, Mirfield, WF14 9DQ",WF14 9DQ,53.67846,-1.70794,2015-04-01,Workshops,3100,SBRE,Small Business Relief England,2015-04-01,,,,,
34090000830N,,"83, Longley Road, Almondbury, Huddersfield, HD5 8JN",HD5 8JN,53.63617,-1.76438,2016-01-01,Shops,1900,,,,,FFF,Less Than 1500/1900/2200/2600,01/01/2016,
34090000831N,,"83a, Longley Road, Almondbury, Huddersfield, HD5 8JN",HD5 8JN,53.63617,-1.76438,2018-01-16,Hairdressing Salons,1925,,,,,FFF,Less Than 1500/1900/2200/2600,16/01/2018,
35130002010N,,"201, Lowerhouses Lane, Lowerhouses, Huddersfield, HD5 8JR",HD5 8JR,53.63815,-1.76505,1990-04-01,Shops,11000,SBRE,Small Business Relief England,2007-04-01,,,,,
12560000220N,Azmar Mini Market Ltd.,"22, Commercial Street, Batley, WF17 5HH",WF17 5HH,53.71293,-1.62952,2016-05-27,Shops,4250,SBRE,Small Business Relief England,2016-05-27,,,,,
29190000620N,,"62, Ingham Road, Thornhill Lees, Dewsbury, WF12 0AQ",WF12 0AQ,53.67238,-1.62919,2011-08-10,Shops,2050,SBRE,Small Business Relief England,2011-08-10,,,,,
13500000180N,,"18, Broadway House, Crackenedge Lane, Dewsbury, WF13 1PU",WF13 1PU,53.69233,-1.62778,2017-09-01,Shops,6100,SBRE,Small Business Relief England,2017-09-01,,,,,
80330000103N,Azzurri Restaurants Limited,"Unit J, West Yorkshire Retail Park, Holden Ing Way, Birstall, WF17 9AD",WF17 9AD,53.74408,-1.64483,2016-02-01,Restaurants,114000,,,,,,,,
81710000031N,B & B Precision Engineering (Huddersfield) Ltd,"Unit 3a, Dearne Park Estate, Park Mill Way, Clayton West, Huddersfield, HD8 9XJ",HD8 9XJ,53.59691,-1.61293,2012-05-01,Workshops,30000,,,,,,,,
71940000081N,B & B Precision Engineering (Huddersfield) Ltd,"Unit 3b, Dearne Park Estate, Park Mill Way, Clayton West, Huddersfield, HD8 9XJ",HD8 9XJ,53.59691,-1.61293,2014-11-24,Warehouses,32250,EPRI,Empty Property Rate Industrial,2014-11-24,,,,,
05640004540N,B & D Bolts Ltd,"Central Warehouse Yard 2, Bradford Road, Batley, WF17 5LS",WF17 5LS,53.71326,-1.62735,1990-04-01,Warehouses,4750,SBRE,Small Business Relief England,2005-04-01,,,,,
05690000575N,B & H Pharma Limited,"Suite 4, 57, Bradford Road, Dewsbury, WF13 2EG",WF13 2EG,53.69699,-1.63178,2015-04-01,Office (Excluding Central & Local Gov'T),5100,SBRE,Small Business Relief England,2015-04-01,,,,,
55380004700N,B & H Small Bore Rifle Club,"Former Railway Station, Station Road, Slaithwaite, Huddersfield, HD7 5AW",HD7 5AW,53.62296,-1.88172,1990-04-01,Other Leisure,1275,SBRE,Small Business Relief England,2008-04-01,,,,,
23840001260N,B & H Travel Limited T/A Smithy Garage,"Near 128, Halifax Old Road, Birkby, Huddersfield, HD2 2RL",HD2 2RL,53.66064,-1.78738,2010-04-01,Garage,8700,SBRE,Small Business Relief England,2010-04-01,,,,,
41690000030N,,"_, Norwood Road, Birkby, Huddersfield, HD2 2UA",HD2 2UA,53.66207,-1.79146,2000-12-11,Workshops,4550,SBRE,Small Business Relief England,2005-04-01,,,,,
64230000870N,,"87, Westgate, Cleckheaton, BD19 5HS",BD19 5HS,53.72295,-1.72151,1990-04-01,Shops,4500,SBRE,Small Business Relief England,2005-04-01,,,,,
03610100563N,B & M Retail Ltd,"Unit 5, Huddersfield Retail Park, Beck Road, Huddersfield, HD1 5DG",HD1 5DG,53.65466,-1.78437,2009-02-07,Retail Warehouse And Premises,98500,,,,,,,,
65510005255N,B & M Retail Ltd,"Units 1&2, Long Causeway, Thornhill, WF12 8AB",WF12 8AB,53.68847,-1.63058,2014-03-10,Retail Warehouse And Premises,125000,,,,,,,,
65510000020N,B & Q Plc,"_, Wilton Street, Dewsbury, WF12 8AB",WF12 8AB,53.68847,-1.63058,1990-04-01,Retail Warehouse And Premises,257500,,,,,,,,
32601000030N,B & Q Plc T/A B & Q Warehouse,"Unit C/D, Leeds Road Retail Park, Leeds Road, Huddersfield, HD1 6PE",HD1 6PE,53.65466,-1.76892,1995-06-06,Retail Warehouse And Premises,1110000,,,,,,,,
22150600267N,B & S Storage Limited,"Units 13/14, Grange Road Business Park, Grange Road, Batley, WF17 6LH",WF17 6LH,53.70804,-1.61979,2012-01-31,Vehicle Repair Workshop,8400,,,,,,,,
22150600171N,B & S Storage Limited,"Grange Road Industrial Estate, Grange Road, Batley, WF17 6LL",WF17 6LL,53.70747,-1.61583,2012-01-31,Land Used For Storage,23000,,,,,,,,
22150000269N,B & S Storage Limited,"Unit 10, Grange Road Business Park, Grange Road, Batley, WF17 6LL",WF17 6LL,53.70747,-1.61583,2012-02-01,Workshops,11000,,,,,,,,
12560000691N,B A K Limited,"69, Commercial Street, Batley, WF17 5EF",WF17 5EF,53.71383,-1.63242,2008-03-03,Cafes,12500,,,,,,,,
12430000552N,B Ali (Yorkshire) Ltd,"Atm At, 55, Colne Road, Huddersfield, HD1 3AY",HD1 3AY,53.63897,-1.78073,2012-04-01,Other Commercial,2000,,,,,,,,
12430000550N,B Ali (Yorkshire) Ltd,"55, Colne Road, Huddersfield, HD1 3AY",HD1 3AY,53.63897,-1.78073,2011-06-01,Shops,4900,SBRE,Small Business Relief England,2011-06-01,,,,,
28200001104N,B Allsop Ltd,"Hope Bank Works, New Mill Road, Honley, Holmfirth, HD7 2QG",HD7 2QG,53.59953,-1.78110,2001-04-01,Factories,125000,,,,,,,,
25750100013N,B Armitage & Son Ltd,"Unit 20, Dobroyd Mills, Jackson Bridge, Hepworth Road, New Mill, Holmfirth, HD9 1ET",HD9 1ET,53.56204,-1.75324,2011-04-01,Workshops,3800,SBRE,Small Business Relief England,2011-04-01,,,,,
18820000256N,B Elliot Property Ltd,"25, Fenay Bridge Road, Fenay Bridge, Huddersfield, HD8 0AY",HD8 0AY,53.64052,-1.72606,2018-07-06,Office (Excluding Central & Local Gov'T),7200,SBRE,Small Business Relief England,2018-07-06,,,,,
57970003050N,B G M Plastics,"_, The Knowle, Shepley, Huddersfield, HD8 8EA",HD8 8EA,53.58569,-1.69936,1990-04-01,Factories,22500,,,,,,,,
63240000030N,,"5, Wellington Road, Dewsbury, WF13 1HF",WF13 1HF,53.69225,-1.63146,1990-04-01,Warehouses,9800,SBRE,Small Business Relief England,2005-04-01,,,,,
25100200014N,B M Packaging Ltd,"Units A4 5&6, Crosland Road Ind Estate, Healey House, Netherton Huddersfield, HD4 7HD",HD4 7HD,53.61448,-1.81325,1993-01-04,Factories,23000,,,,,,,,
25100200019N,B M Packaging Ltd,"Unit A10, Crosland Road Ind Estate, Healey House, Netherton Huddersfield, HD4 7DQ",HD4 7DQ,53.60579,-1.82447,2016-04-01,Warehouses,30250,,,,,,,,
25100200024N,B M Packaging Ltd,"Units A7, A8 & A9, Crosland Road Industrial Estate, Healey House, Crosland Factory Lane, Netherton, Huddersfield, HD4 7DQ",HD4 7DQ,53.60579,-1.82447,2017-01-01,Workshops,27500,,,,,,,,
55330000014N,,"Pt Gnd Flr Unit 1, Beehive Business Park, Smithies Lane, Heckmondwike, WF16 0PX",WF16 0PX,53.70140,-1.67589,2018-01-08,Office (Excluding Central & Local Gov'T),8300,SBRE,Small Business Relief England,2018-02-20,,,,,
60360500105N,B P M Phoenix Ltd,"Crystal Works, Unit D, Union Road, Millbridge, Liversedge, WF15 7JT",WF15 7JT,53.70611,-1.68171,2008-10-01,Workshops,21000,,,,,,,,
50140000180N,B Spencer & Son Limited T/A Milnsbridge Garage,"Milnsbridge Garage, Savile Street, Milnsbridge, Huddersfield, HD3 4PG",HD3 4PG,53.64138,-1.82796,1990-04-01,Garage,6500,SBRE,Small Business Relief England,2010-04-01,,,,,
42110400010N,B V A Tools & Plastics Ltd,"_, Oaks Road, Soothill, Batley, WF17 6LT",WF17 6LT,53.71131,-1.61675,1990-04-01,Factories,10000,SBRE,Small Business Relief England,2005-04-01,,,,,
09770100040N,,"_, Butt End Mills, Chadwick Fold Lane, Mirfield, WF14 8PW",WF14 8PW,53.67240,-1.69872,1990-04-01,Workshops,13000,SBRE,Small Business Relief England,2016-03-26,,,,,
22660000012N,,"_, Green Road, Littletown, Liversedge, WF15 6DN",WF15 6DN,53.71352,-1.69262,1991-04-01,Workshops,7200,SBRE,Small Business Relief England,2005-04-01,,,,,
57180110132N,B.G. Joinery (Huddersfield) Ltd,"Unit 5, Union Mills, Tanyard Road, Milnsbridge Huddersfield, HD3 4NB",HD3 4NB,53.63912,-1.82238,2015-03-02,Workshops,12000,SBRE,Small Business Relief England,2015-03-02,,,,,
60840004050N,,"Unit 10, Upper Mills, Slaithwaite, Huddersfield, HD7 5HA",HD7 5HA,53.62087,-1.88635,1998-09-01,Workshops,2100,SBRE,Small Business Relief England,2006-04-01,,,,,
53440201080N,,"Unit 108, Colne Valley Business Park, Spring Grove, Linthwaite Huddersfield, HD7 5QG",HD7 5QG,53.62500,-1.85637,1999-01-01,Workshops,3400,SBRE,Small Business Relief England,2005-04-01,,,,,
35211100025N,,"Unit 36, Marsh Mills, Luck Lane, Marsh Huddersfield, HD3 4AB",HD3 4AB,53.65019,-1.81066,2017-07-01,Workshops,4900,SBRE,Small Business Relief England,2017-07-01,,,,,
40590000011N,,"Unit 1 At , 1, New Street, Huddersfield, HD1 2AX",HD1 2AX,53.64612,-1.78231,2017-08-29,Shops,9400,SBRE,Small Business Relief England,2017-08-29,,,,,
28670001320N,Babyccinos Kinder Cafes Ltd,"132, Huddersfield Road, Mirfield, WF14 8AN",WF14 8AN,53.67411,-1.69351,2018-05-01,Shops,11250,SBRE,Small Business Relief England,2018-05-01,,,,,
71040100020N,Bac & Son (Electrical) Company Limited,"Unit 2, Ashley Industrial Estate, Bradley Junction, Bradley Huddersfield, HD2 1UR",HD2 1UR,53.67548,-1.74361,2012-01-20,Warehouses,6000,SBRE,Small Business Relief England,2012-01-20,,,,,
02235100004N,Bae Systems Pension Funds Trustees Limited,"Warehouse Rear 2b, Great Northern Retail Park, Great Northern Street, Huddersfield, HD1 6AY",HD1 6AY,53.65083,-1.77881,2010-07-22,Warehouses,24500,,,,,,,,
22350100050N,Bae Systems Pension Funds Trustees Limited,"Unit 4, Great Northern Retail Park, Great Northern Street, Huddersfield, HD1 6ND",HD1 6ND,53.65282,-1.77874,2018-11-21,Retail Warehouse And Premises,164000,EPRN,Empty Property Rate Non-Industrial,2018-12-15,,,,,
03610101015N,Bag It Up Ltd,"Units 13/14, Ringway Industrial Estate, Beck Road, Huddersfield, HD1 5DG",HD1 5DG,53.65466,-1.78437,2015-04-01,Warehouses,49250,,,,,,,,
30660100057N,Bagel Nash (Retail) Limited,"Bagel Nash Espresso & Bagel Bar, Kingsgate Shopping Centre, King Street, Huddersfield, HD1 2QB",HD1 2QB,53.64593,-1.77911,2010-04-01,Shops,36250,,,,,,,,
72060100010N,Bagno Design Limited,"Unit 1, Oakwell Way, Birstall, Batley, WF17 9LU",WF17 9LU,53.74200,-1.64846,2013-10-22,Workshops,73500,,,,,,,,
64230000230N,,"23, Westgate, Cleckheaton, BD19 5EY",BD19 5EY,53.72292,-1.71718,2011-05-01,Shops,7900,SBRE,Small Business Relief England,2011-06-05,,,,,
37650100042N,Baig Properties Limited,"Office 1 Guardian House (1st), Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),1200,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400010N,Baig Properties Limited,"Guardian House Ground Floor, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9AH",WF12 9AH,53.68588,-1.62796,2006-06-22,Office (Excluding Central & Local Gov'T),1075,,,,,FFF,Less Than 1500/1900/2200/2600,01/04/2008,
37650400022N,Baig Properties Limited,"Office 2 Gf Guardian House, Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9AH",WF12 9AH,53.68588,-1.62796,2006-06-22,Office (Excluding Central & Local Gov'T),790,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400031N,Baig Properties Limited,"Office 3 Gf Guardian House, Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9AH",WF12 9AH,53.68588,-1.62796,2006-06-22,Office (Excluding Central & Local Gov'T),1225,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400042N,Baig Properties Limited,"Office 4 Gf Guardian House, Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9AH",WF12 9AH,53.68588,-1.62796,2006-06-22,Office (Excluding Central & Local Gov'T),1150,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400051N,Baig Properties Limited,"Office 5 Gf Guardian House, Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9AH",WF12 9AH,53.68588,-1.62796,2006-06-22,Office (Excluding Central & Local Gov'T),1425,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400040N,Baig Properties Limited,"Guardian House 1st Floor 4, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),1100,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400050N,Baig Properties Limited,"Guardian House First Floor 5, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),930,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400060N,Baig Properties Limited,"Guardian House First Floor 6, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),930,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400070N,Baig Properties Limited,"Guardian House First Floor 7, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),930,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650100010N,Baig Properties Limited,"Office 8 Guardian House (Ff), Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),2050,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400102N,Baig Properties Limited,"Guardian House First Floor 10, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),690,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400100N,Baig Properties Limited,"Guardian House, Office 11 (1st Flr), Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),840,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400200N,Baig Properties Limited,"Guardian House First Floor 20, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),1725,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400220N,Baig Properties Limited,"Guardian House First Floor 22, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),1325,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400103N,Baig Properties Limited,"Guardian House, Unit 12 (1st Flr), Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),2175,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400105N,Baig Properties Limited,"Guardian House, Office 16 (1st Flr), Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),1775,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400107N,Baig Properties Limited,"Guardian House, Office 18 (1st Flr), Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2006-06-22,Office (Excluding Central & Local Gov'T),1725,,,,,FFF,Less Than 1500/1900/2200/2600,22/06/2006,
37650400021N,Baig Properties Limited,"Office 1 Gf Guardian House, Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2009-10-14,Office (Excluding Central & Local Gov'T),1750,,,,,FFF,Less Than 1500/1900/2200/2600,14/10/2009,
37650400106N,Baig Properties Limited,"Guardian House, Office 17 (1st Flr), Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2010-04-01,Office (Excluding Central & Local Gov'T),1775,,,,,FFF,Less Than 1500/1900/2200/2600,01/04/2010,
37650400030N,Baig Properties Limited,"Guardian House First Floor 3, Savile Business Centre, Mill Street East, Savile Town, Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2010-08-01,Office (Excluding Central & Local Gov'T),1125,,,,,FFF,Less Than 1500/1900/2200/2600,01/08/2010,
37650400020N,Baig Properties Limited,"Office 2 1st Fl Guardian House, Savile Business Centre, Mill Street East, Savile Town Dewsbury, WF12 9BD",WF12 9BD,53.68364,-1.62384,2011-02-14,Office (Excluding Central & Local Gov'T),1300,,,,,FFF,Less Than 1500/1900/2200/2600,14/02/2011,
37650000021N,Baig Properties Limited,"Unit 12, Mill Street East, Savile Town, Dewsbury, WF12 9DD",WF12 9DD,53.68579,-1.62749,2015-08-10,Warehouses,31500,,,,,,,,
37650000121N,Baig Properties Limited,"Car Park Adjacent Unit 12, Mill Street East, Savile Town, Dewsbury, WF12 9DD",WF12 9DD,53.68579,-1.62749,2015-08-10,Car Parks & Parking Spaces,1000,,,,,,,,
25190000140N,Bailey Ceilings Ltd,"Unit 14, Heath House Mills, Heath House, Golcar Huddersfield, HD7 4JW",HD7 4JW,53.63696,-1.86433,2011-04-01,Stores,1125,SBRE,Small Business Relief England,2011-04-01,,,,,
00730500010N,Bailey Construction (Yorks)Ltd,"_, Upper Bankfield Mills, Almondbury Bank, Huddersfield, HD5 8HF",HD5 8HF,53.64260,-1.76299,2007-01-31,Warehouses,7200,SBRE,Small Business Relief England,2007-04-01,,,,,
40420000080N,,"8, New North Parade, Huddersfield, HD1 5JW",HD1 5JW,53.64793,-1.78660,1990-04-01,Office (Excluding Central & Local Gov'T),16750,,,,,,,,
28630000380N,,"38, Huddersfield Road,, Holmfirth., HD9 3JH",HD9 3JH,53.56987,-1.78838,2001-04-01,Office (Excluding Central & Local Gov'T),9000,,,,,,,,
44760100010N,Bakehouse Properties (Huddersfield) Ltd,"13, Pickford Street, Milnsbridge, Huddersfield, HD3 4LH",HD3 4LH,53.63750,-1.82767,2015-03-27,Factories,5800,SBRE,Small Business Relief England,2015-03-27,,,,,
52680000282N,,"Supermarket At, 24/28, South Street, Dewsbury, WF13 1JS",WF13 1JS,53.69029,-1.63101,2013-05-30,Shops,19250,EPRN,Empty Property Rate Non-Industrial,2015-06-11,,,,,
40450000860N,,"Edgerton Hotel , 86-88, New North Road, Huddersfield, HD1 5NE",HD1 5NE,53.65180,-1.79315,2010-12-23,Hotel,21500,,,,,,,,
28630000910N,Balance Accountants Ltd,"Victoria Court - First Floor, 91, Huddersfield Road,, Holmfirth., HD9 3AS",HD9 3AS,53.57205,-1.78591,1998-04-01,Office (Excluding Central & Local Gov'T),16500,SBRE,Small Business Relief England,2010-04-01,,,,,
40200002040N,,"204, New Hey Road, Oakes, Huddersfield, HD3 4BU",HD3 4BU,53.65407,-1.82344,1990-04-01,Shops,11750,SBRE,Small Business Relief England,2005-04-01,,,,,
62110500038N,Balfor Security Ltd,"Block 1 First Floor Offices 1 & 2, Nortonthorpe Mills, Wakefield Road, Scissett, Huddersfield, HD8 9LA",HD8 9LA,53.58682,-1.62808,2015-03-17,Office (Excluding Central & Local Gov'T),2850,SBRE,Small Business Relief England,2015-03-17,,,,,
62020005460N,,"542, Wakefield Road, Ossett, WF5 9QJ",WF5 9QJ,53.69128,-1.59382,2003-12-13,Shops,5300,SBRE,Small Business Relief England,2006-04-01,,,,,
41410000913N,Ballcraft Engravers Ltd,"2, Thorpe Lane, Almondbury, Huddersfield, HD5 8TA",HD5 8TA,53.63461,-1.74435,2010-04-01,Office (Excluding Central & Local Gov'T),4700,SBRE,Small Business Relief England,2010-04-01,,,,,
23230000070N,,"7., Grimscar Avenue, Birkby, Huddersfield, HD2 2TY",HD2 2TY,53.66237,-1.79444,2002-10-06,Shops,4450,SBRE,Small Business Relief England,2007-04-01,,,,,
12560000390N,,"39, Commercial Street, Batley, WF17 5EP",WF17 5EP,53.71314,-1.63085,2010-07-21,Shops,23500,,,,,,,,
05720001081N,,"106, Bradford Road, Huddersfield, HD1 6JR",HD1 6JR,53.65677,-1.78156,2014-10-01,Shops,8200,SBRE,Small Business Relief England,2014-10-01,,,,,
15110000800N,Banana Moon Workshop Ltd,"Unit 8, Springwell 27, Dark Lane, Birstall, Batley, WF17 9NL",WF17 9NL,53.72921,-1.66022,2009-08-01,Workshops,21250,,,,,,,,
15110000090N,Banana Moon Workshop Ltd,"Unit 9 Springwell, 27, Dark Lane, Birstall, WF17 9LN",WF17 9LN,53.74117,-1.65386,2012-08-04,Warehouses,11000,,,,,,,,
32601000015N,Bandshire Ltd,"Unit 1a, Calder Trading Estate, Leeds Road, Huddersfield, HD5 0RX",HD5 0RX,53.68393,-1.73764,2014-11-01,Land Used For Storage,6600,SBRE,Small Business Relief England,2016-03-26,,,,,
44410000032N,Bank Of Ireland,"Atm At, 3, Peel Street, Marsden, Huddersfield, HD7 6BR",HD7 6BR,53.60144,-1.92711,2016-05-10,Other Commercial,3750,,,,,,,,
51290000035N,Bankfield Ventures Limited,"Unit G1, Sharp Street, Dewsbury, WF13 1QZ",WF13 1QZ,53.69389,-1.62720,2011-09-24,Stores,610,,,,,FFF,Less Than 1500/1900/2200/2600,24/09/2011,
62000006343N,,"First Floor, 634, Wakefield Road, Huddersfield, HD5 8PZ",HD5 8PZ,53.64462,-1.73864,2013-03-01,Shops,2125,SBRE,Small Business Relief England,2013-07-01,,,,,
