Property reference number,BA reference number,Address,Postcode,Latitude,Longitude,Liability start date,Rateable value,VOA code,VOA description
N01000600062,100052003755,"6, Albert Street, Harrogate, North Yorkshire, HG1 1JL",HG1 1JL,53.99182,-1.53901,2013-06-03,20000,CS,SHOP AND PREMISES
N01000600082,100052003483,"8, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2014-04-01,31250,CS,OFFICES AND PREMISES
N01000600090,100052003488,"9, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2001-02-02,27500,CS,OFFICES AND PREMISES
N01000600091,100052003157,"9a, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2016-03-16,5400,CO,OFFICES AND PREMISES
N01000600103,,"10-12, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2013-08-16,59000,CS,Shop and Premises
N01000600110,,"Ground Floor, 11a, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2016-04-08,12750,CO,TRAVEL AGENT & PREMISES
N01000600113,,"Unit 3, Westgate House, Station Parade, Harrogate, North Yorkshire, HG1 1HQ",HG1 1HQ,53.99,-1.53703,2016-09-09,95500,LT,Cinema and Premises
N01000600140,100052003192,"14, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2016-11-15,29250,CO,OFFICES AND PREMISES
N01000600160,100052003190,"16, Albert Street, Harrogate, North Yorkshire, HG1 1JP",HG1 1JP,53.99174,-1.54015,2005-04-01,42750,CS,SHOP AND PREMISES
N01000600174,,"1st Floor, 17, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2012-05-16,11500,CO,Offices and Premises
N01000600175,100052003158,"17, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2009-11-28,27750,CS,Shop and Premises
N01000600182,100052003484,"18/22, Albert Street, Harrogate, North Yorkshire, HG1 1JT",HG1 1JT,53.99174,-1.54032,2017-11-30,47000,CS,SHOP AND PREMISES
N01000600240,100052003485,"24, Albert Street, Harrogate, North Yorkshire, HG1 1JT",HG1 1JT,53.99174,-1.54032,2006-11-24,27500,CS,OFFICES AND PREMISES
N01000600261,,"26/28, Albert Street, Harrogate, HG1 1JT",HG1 1JT,53.99174,-1.54032,2007-09-11,45750,CS,Shop and Premises
N01000608015,,"Car Parking Space 4, R/O Regent House, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2008-03-19,1000,CP1,Car Parking Space and Premises
N01000608020,010003028447,"Unit 2, Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2018-12-16,18250,CS,Shop and Premises
N01000608030,100052209502,"3 Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2004-03-10,39750,CS,Shop and Premises
N01000608040,200001955796,"Unit 4, Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2018-09-01,18750,CS,Shop and Premises
N01000608045,,"Car Parking Space 1, R/O Regent House, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2013-03-30,1000,CP1,Car Parking Space and Premises
N01000608055,,"Car Parking Space 2, R/O Regent House, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2010-11-01,1000,CP1,Car Parking Space and Premises
N01000608060,010003028449,"Unit 6, Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,1995-04-01,8600,CO,OFFICES AND PREMISES
N01000608071,010003028450,"7 Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2010-11-01,8000,CO,OFFICES AND PREMISES
N01000608080,010013656478,"8b Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2012-10-27,14500,CO,Offices and Premises
N01000608095,,"Car Parking Space 3, R/O Regent House, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,1998-07-27,1000,CP1,Car Parking and Premises
N01000608110,,"Units 5 8a & 9, Regent House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2007-09-28,35750,CS,Office and Premises
N01000608130,010003028453,"Unit 13, Regent House, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2018-11-10,29750,CS,SHOP AND PREMISES
N01000609020,010034598891,"2, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,1997-12-19,59500,CR,Restaurant and Premises
N01000609031,,"Flat 3, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JX",HG1 1JX,53.99153,-1.54001,2016-10-14,2400,CH1,Self Catering Holiday Unit and Premises
N01000609037,,"Flat 8, Regent House, 13/15, Albert Street, Harrogate, HG1 1JX",HG1 1JX,53.99153,-1.54001,2012-11-05,3800,CH1,Self Catering Holiday Unit and Premises
N01000609038,,"Flat 5, Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2012-11-09,3800,CH1,Self Catering Holiday Unit and Premises
N01000609040,,"Flat 7, Regent House, 13/15, Albert Street, Harrogate, North Yorkshire, HG1 1JG",HG1 1JG,53.99192,-1.53863,2018-08-15,2400,CH1,Self Catering Holiday Unit and Premises
N01001100050,100050382420,"Brookfield House, 5, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,1996-01-05,6500,CH2,Guest House and Premises
N01001100071,,"Rooms 2 & 3 Ground Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2018-06-20,4700,CO,Offices and Premises
N01001100073,,"Room 3 2nd Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2016-07-15,2650,CO,Office
N01001100074,,"Room 8 1st Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2015-04-10,2750,CO,Offices and Premises
N01001100081,100050382424,"8, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2010-04-01,17000,CH,Hotel and Premises
N01001100141,,"Flat 1, 14, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2010-09-15,3800,CH1,Self Catering Holiday Unit and Premises
N01001109071,,"Basement, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2017-12-21,2550,CO,Offices and Premises
N01001109073,,"Room 1 Grnd Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2012-07-01,4400,CO,Offices and Premises
N01001109074,,"Rooms 6 & 10 1st Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2017-09-08,3900,CO,Offices and Premises
N01001109075,,"Room 2 2nd Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2017-09-08,2200,CO,Offices and Premises
N01001109076,,"Room 9 1st Floor, 7, Alexandra Road, Harrogate, North Yorkshire, HG1 5JS",HG1 5JS,53.99763,-1.53961,2017-09-08,2100,CO,Offices and Premises
N01001309010,010003033656,"Sports Ground, Almsford Close, Harrogate, North Yorkshire, HG2 8EF",HG2 8EF,53.97577,-1.52581,2014-09-26,2400,LS,Sports Ground and Premises
N01001600371,,"37, Cheltenham Crescent, Harrogate, North Yorkshire, HG1 1DH",HG1 1DH,53.99485,-1.54225,2016-03-11,6600,CS,shop and premises
N01002009010,,"., Anchor Road, Harrogate, North Yorkshire, HG1 4TA",HG1 4TA,53.99731,-1.51823,1995-04-01,54000,IF3,WORKSHOP AND PREMISES
N01002009020,100052004770,"Roseville Garage, Anchor Road, Harrogate, North Yorkshire, HG1 4TA",HG1 4TA,53.99731,-1.51823,2012-03-23,3600,CG2,Garage and Premises
N01002500011,100052005362,"1, Arthington Avenue, Harrogate, North Yorkshire, HG1 5NB",HG1 5NB,53.99384,-1.53502,2018-08-01,6000,CO,CONSULTING ROOMS AND PREMISES
N01002609021,100052209513,"Footprints Day Nursery, Arthurs Avenue, Harrogate, North Yorkshire, HG2 0DZ",HG2 0DZ,53.98338,-1.54739,2011-03-01,9400,EN1,Day Nursery and Premises
N01002609022,100052005894,"Harrogate Grammar School, Arthurs Avenue, Harrogate, North Yorkshire, HG2 0DZ",HG2 0DZ,53.98338,-1.54739,2011-03-01,420000,EL,School and Premises
N01003000070,,"Holiday Lets, 7 , Ashfield Terrace, Harrogate, North Yorkshire, HG1 5ET",HG1 5ET,53.99955,-1.53412,2018-02-28,3800,CH1,SELF CATERING HOLIDAY UNIT AND PREMISES
N01003300493,010023252852,"Unit 1 R/O, 49/59, Ash Road, Harrogate, North Yorkshire, HG2 8EB",HG2 8EB,53.97535,-1.52925,2005-08-01,6800,CW3,Store and Premises
N01003300494,010023252853,"Unit 2 R/O, 49/59, Ash Road, Harrogate, North Yorkshire, HG2 8EB",HG2 8EB,53.97535,-1.52925,2014-07-01,5000,IF3,Workshop and Premises
N01003300495,010023252854,"Unit 3 R/O, 49/59, Ash Road, Harrogate, North Yorkshire, HG2 8EB",HG2 8EB,53.97535,-1.52925,2013-09-01,4900,IF3,Workshop and Premises
N01003300496,010023252855,"Unit 4 R/O, 49/59, Ash Road, Harrogate, North Yorkshire, HG2 8EB",HG2 8EB,53.97535,-1.52925,2014-01-20,6500,CW3,Store and Premises
N01003909001,010003028463,"Harrogate Bowling Club, Ebor Rise, Harrogate, HG1 2NB",HG1 2NB,53.99037,-1.558,2003-04-01,4000,LX,Bowling Green and Premises
N01004200011,100052007159,"1, Avenue Road, Harrogate, North Yorkshire, HG2 7PG",HG2 7PG,53.99722,-1.50214,2016-04-01,0,CS7,Building under Construction
N01004520901,100050398192,"Coppice Valley Cp School, Knapping Hill, Harrogate, HG1 2DN",HG1 2DN,54.00428,-1.54354,2017-08-01,34750,EL,School and Premises
N01004520902,010003037599,"Coppice Park Nursery, Knapping Hill, Harrogate, HG1 2DN",HG1 2DN,54.00428,-1.54354,2017-08-17,6200,EN1,DAY NURSERY AND PREMISES
N01004700131,100052183540,"J Robinson Garage, R/O 13/15, Bachelor Gardens, Harrogate, North Yorkshire, HG1 3EL",HG1 3EL,54.01125,-1.54044,1995-04-01,1625,IF3,WORKSHOP
N01004919010,010003028464,"Sewage Disposal Works, Bachelor Gardens, Harrogate, North Yorkshire, HG1 3EB",HG1 3EB,54.01616,-1.53917,1995-04-01,277500,NW,Sewage Treatment Works and Premises
N01006109010,100052007604,"Beech House, Beech Avenue, Harrogate, North Yorkshire, HG2 8DY",HG2 8DY,53.97648,-1.52948,2014-02-28,15500,CO,OFFICES AND PREMISES
N01006109021,100052209518,"Units 1 & 2, Beech Avenue, Harrogate, North Yorkshire, HG2 8DY",HG2 8DY,53.97648,-1.52948,2017-04-07,23750,CW,WAREHOUSE AND PREMISES
N01006109022,010003601885,"Unit 3, Beech Avenue, Harrogate, North Yorkshire, HG2 8DY",HG2 8DY,53.97648,-1.52948,2013-08-01,13500,CW,Warehouse and Premises
N01006110040,100052007289,"Unit 4, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,2015-06-01,12750,IF3,WORKSHOP AND PREMISES
N01006110050,100052007286,"Unit 5, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,2016-07-01,12000,CW3,STORE AND PREMISES
N01006110060,100052007593,"Unit 6, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,1995-08-05,9100,CG1,Vehicle Repair Workshop and Premises
N01006110070,200002734415,"Unit 7, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,2014-02-15,11750,CW,Warehouse and Premises
N01006110080,010013653324,"Unit 8, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,2011-10-01,7100,IF3,Workshop and Premises
N01006110091,010023252856,"Unit 9, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,2015-06-01,6300,LX,Gym and Premises
N01006110092,,"Unit 9a, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DY",HG2 8DY,53.97648,-1.52948,2013-07-01,4100,IF3,Workshop and Premises
N01006110100,010013653325,"Unit 10, Beech Avenue Business Park, Beech Avenue, Harrogate, North Yorkshire, HG2 8DS",HG2 8DS,53.97675,-1.53079,2011-04-30,7800,IF3,Workshop and Premises
N01007109010,100052007528,"Oatlands County Junior School, Beechwood Grove, Harrogate, North Yorkshire, HG2 8QP",HG2 8QP,53.9786,-1.52708,2015-08-01,37250,EL,School and Premises
N01007300012,,"Carlington House, 1, Belford Road, Harrogate, North Yorkshire, HG1 1JA",HG1 1JA,53.98962,-1.53825,2019-02-06,3800,CH1,Self Catering Holiday Unit and Premises
N01007300013,,"Rooftops Flat B, Carlingford House, 1, Belford Road, Harrogate, North Yorkshire, HG1 1JA",HG1 1JA,53.98962,-1.53825,2019-02-06,3050,CH1,SELF CATERING HOLIDAY UNIT AND PREMISES
N01007300040,010003028466,"Old Comrades Club, 4, Belford Road, Harrogate, North Yorkshire, HG1 1JA",HG1 1JA,53.98962,-1.53825,2016-12-05,3050,CL2,Club House and Premises
N01007300041,100052209524,"4, Belford Road, Harrogate, North Yorkshire, HG1 1JA",HG1 1JA,53.98962,-1.53825,2016-12-05,1450,CS,SHOP AND PREMISES
N01007309020,010003032578,"St Peters Primary School, Belford Road, Harrogate, North Yorkshire, HG1 1JA",HG1 1JA,53.98962,-1.53825,2016-03-01,37750,EL,School and Premises
N01007600321,,"Belmont House, 32, Belmont Road, Harrogate, North Yorkshire, HG2 0LR",HG2 0LR,53.99077,-1.54655,2013-12-19,4350,CH1,Self Catering Holiday Unit and Premises
N01007900030,100052003581,"3, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2018-11-01,31500,CS,shop and premises
N01007900040,100052003582,"4, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2012-02-08,16000,CS,Shop and Premises
N01007900050,100052003154,"5, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2016-11-02,38500,CS,SHOP AND PREMISES
N01007900060,100052003139,"6, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,1997-04-01,14250,CS,SHOP AND PREMISES
N01007900070,100052003583,"7, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2008-05-17,34250,CS,SHOP AND PREMISES
N01007900081,100052183541,"10, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2016-12-24,32250,CS,SHOP AND PREMISES
N01007900090,100052003121,"9, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2010-01-19,30000,CS,SHOP AND PREMISES
N01007900100,100052003140,"8, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2018-05-11,29000,CS,SHOP AND PREMISES
N01007900120,100052003779,"12, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,1995-04-01,18000,CS,SHOP AND PREMISES
N01007900121,100052003580,"12a, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2002-06-21,28500,CS,SHOP AND PREMISES
N01007900133,100052003274," 13, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2013-10-25,75500,CS,Shop and Premises
N01007900136,,"Tees Esk And Wear Nhs, Part Second Floor, 11/13, Beulah Street, Harrogate, North Yorkshire, HG1 1QA",HG1 1QA,53.99403,-1.53988,2014-10-01,3800,CO,Officea and Premises
N01007900137,,"The Sewing Sanctuary, Part Second Floor, 11/13, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2017-07-01,0,CO,Offices and Premises
N01007900138,,"Beulah 62 Ltd, Part Second Floor, 11/13, Beulah Street, Harrogate, North Yorkshire, HG1 1QA",HG1 1QA,53.99403,-1.53988,2017-07-10,0,CO,Offices and Premises
N01007900139,,"First Floor, 11/13, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2017-07-10,0,CO,Offices and Premises
N01007900140,100052003584,"14, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2018-09-05,38000,CS,SHOP AND PREMISES
N01007900150,100052003795,"15, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2012-10-26,53000,CS,SHOP AND PREMISES
N01007900163,100052003794,"16-18, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2012-06-28,75000,CS,Shop and premises
N01007900171,100052003572,"17, Beulah Street, Harrogate, North Yorkshire, HG1 1QQ",HG1 1QQ,53.99368,-1.53866,2019-04-01,30250,CS,SHOP AND PREMISES
N01007900190,100052003573,"19, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2003-02-07,25250,CS,SHOP AND PREMISES
N01007900200,100052003571,"20/22, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2012-05-09,44750,CS,Shop and Premises
N01007900210,100052003150,"21/27, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2015-10-16,53000,CR,RESTAURANT AND PREMISES
N01007900231,010003028469,"Suite A, First Floor, 21/29, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2015-09-17,6600,CO,STORE
N01007900241,100052003574,"24, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2017-11-24,19500,CS,Shop and Premises
N01007900251,,"Suite B, C And Salon First Floor, 21-29, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2015-09-17,14250,CO,Offices and Premises
N01007900260,100052003777,"26, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2017-09-26,17250,CS,SHOP AND PREMISES
N01007900280,100052183543,"28, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2019-01-31,23750,CS,SHOP AND PREMISES
N01007900290,100052003138,"29, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2005-05-25,16000,CS,SHOP AND PREMISES
N01007900300,100052003716,"30, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2012-08-20,20000,CS,SHOP AND PREMISES
N01007900322,100052183544,"32, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2016-03-21,19000,CS,Shop and Premises
N01007900330,100052003576,"33, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2002-11-29,34250,CS,Shop and Premises
N01007900331,,"Flat C,  33, Beulah Street, Hartrogate, HG11QH",HG11QH,53.99418,-1.53909,2018-04-01,3800,CH1,
N01007900340,100052003713,"34, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2013-07-08,27000,CS,SHOP AND PREMISES
N01007900350,100052003151,"35, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2017-08-01,19250,CS,SHOP AND PREMISES
N01007900360,100052003152,"36, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2014-01-08,20000,CS,Shop and Premises
N01007900370,100052003577,"37, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2007-11-19,25250,CS,SHOP AND PREMISES
N01007900380,100052003153,"38, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2018-01-25,21500,CS,Shop and Premises
N01007900400,100052003578,"40, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2007-04-01,12250,CS,SHOP AND PREMISES
N01007900420,100052003579,"42, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2013-04-01,13750,CS,SHOP AND PREMISES
N01007900470,,"Atm Site (Bankmachine), Bt Phone/Atm Kiosk, Jct Oxford Street, Cheltenham Parade, Harrogate, HG1 1QH",HG1 1QH,53.99418,-1.53909,2010-04-01,3750,CX,Site of Atm and Premises
N01007900471,,"Advertising Right  (Bt Phone Box 01423 528633), Adj To 1a Oxford Steet, Jct Oxford Street, Cheltenham Parade, Harrogate, HG1 1QH",HG1 1QH,53.99418,-1.53909,2017-10-01,550,CA,Advertising Right and Premises
N01007900472,,"Advertising Right (Bt Phone Box 01423 524324), Adj To Yorkshire Farmers And Atm, Jct Oxford Street, Cheltenham Parade, Harrogate, HG1 1QH",HG1 1QH,53.99418,-1.53909,2017-10-01,550,CA,Advertising Right and Premises
N01007902931,010003028473,"Deli France, 29a/31, Beulah Street, Harrogate, North Yorkshire, HG1 1QH",HG1 1QH,53.99418,-1.53909,2007-08-17,36500,CR,RESTAURANT AND PREMISES
N01008500480,100052004509,"Tagg House, 48, Bilton Lane, Harrogate, North Yorkshire, HG1 3DU",HG1 3DU,54.00808,-1.53382,1995-04-01,3150,LC,COMMUNITY CENTRE
N01008500620,100052004510,"62, Bilton Lane, Harrogate, North Yorkshire, HG1 3DU",HG1 3DU,54.00808,-1.53382,2010-10-01,4900,CS,SHOP AND PREMISES
N01008500690,010003028474,"69, Bilton Lane, Harrogate, North Yorkshire, HG1 3DT",HG1 3DT,54.00836,-1.53422,2017-12-10,13250,LC1,Club House and Premises
N01008504060,100050384684,"The Bilton Pet Hotel, 406, Bilton Lane, Harrogate, North Yorkshire, HG1 4DH",HG1 4DH,54.01487,-1.5165,2006-01-13,18750,CX,Kennels Cattery and Premises
N01008509051,100050384689,"Bilton Dene Farm, Bilton Lane, Harrogate, North Yorkshire, HG1 4DH",HG1 4DH,54.01487,-1.5165,2009-05-08,6200,LX,LIVERY STABLE AND PREMISES
N01008509110,100050384694,"Gardeners Arms, Bilton Lane, Harrogate, North Yorkshire, HG1 4DH",HG1 4DH,54.01487,-1.5165,1995-04-01,17000,CL,PUBLIC HOUSE AND PREMISES (PART)
N01008509191,,"Ground Floor, The Vicarage, Bilton Lane, Harrogate, North Yorkshire, HG1 3DT",HG1 3DT,54.00836,-1.53422,2016-01-08,13750,EM,Library and Premises
N01008509192,,"First Floor, The Vicarage, Bilton Lane, Harrogate, North Yorkshire, HG1 3DT",HG1 3DT,54.00836,-1.53422,2016-01-08,13250,CO,Offices and Premises
N01008509196,010003028475,"Store 1 R/O, Bilton Library, Bilton Lane, Harrogate, North Yorkshire, HG1 3PD",HG1 3PD,,,2010-08-16,1025,CW3,STORE AND PREMISES
