Property Reference Number,Ratepayer,Address,Postcode,Latitude,Longitude,Occupied,Liability start date,Rateable value,VOA code,VOA description,Exemptions,Exemption Start Date, Type,Relief total,Relief mandatory,Relief discretionary
N00030035050218,Appleton Roebuck Tennis Club,"R/O Shoulder Of Mutton Inn, Chapel Green, Appleton Roebuck, York, YO23 7DP",YO23 7DP,53.876074,-1.156086,Y,1990-04-01,1200,LX,Leisure Unclassified,,,Small Business Rate,-344.38,,
N00030085053104,Samuel Smith Old Brewery (Tadcaster) Ltd,"Roebuck Inn, Main Street, Appleton Roebuck, York, YO23 7DG",YO23 7DG,53.873313,-1.161023,Y,1990-11-21,4100,CL,Public House And Premises,,,,,,
N0003009005030A,C D M S Sub Service Engineering Ltd,"Ashley House, Malt Kiln Lane, Appleton Roebuck, York, YO23 7DT",YO23 7DT,53.876414,-1.158406,Y,2015-05-01,16000,EX,Education Unclassified,,,,,,
N00030120050409,,"Orchard View, Main Street, Appleton Roebuck, York, YO23 7DD",YO23 7DD,53.87353,-1.163742,Y,1990-04-01,650,IF3,Workshop And Premises,,,Small Business Rate,-312.00,,
N00030132805205,Mobile Broadband Network Ltd,"T Mobile Site No 65637, Woolas Grange Farm, Malt Kiln Lane, Appleton Roebuck, York, YO23 7HT",YO23 7HT,53.881046,-1.161462,Y,2010-10-08,6900,MT1,Communication Station And Premises,,,,,,
N00030469250020,,"2, Lilac Avenue, Appleton Roebuck, York, YO23 7DH",YO23 7DH,53.872543,-1.158894,Y,2017-12-01,2500,CH1,Self Catering Holiday Unit And Premises,,,Small Business Rate,-1200.00,,
N00030499450019,,"Storage Land At Brockett Industrial Estate, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2009-07-07,10000,CW1,Land Used For Storage And Premises,,,,,,
N00030560000001,Just Travel (York) Limited,"Just Travel,, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2008-01-07,8800,IF3,Workshop And Premises,,,Small Business Rate,-2611.51,,
N00030560000004,,"Stoneplan At, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2008-08-01,8500,CW1,Land Used For Storage And Premises,,,,,,
N00030560000020X,,"Unit 2, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2017-02-01,6500,IF3,Workshop And Premises,,,Small Business Rate,-1635.78,,
N00030560000031,,"Taylors Storage At Scammell, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2007-04-01,3850,CG1,Vehicle Repair Workshop And Premises,,,,,,
N00030560050001,,"Ebor Trucks, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2007-08-01,15000,CG1,Vehicle Repair Workshop And Premises,,,Localised Discretionary ; Small Business Rate ; Supporting Small Business,-676.87,,
N00030560050003,Brocketts Industrial Estate,"Garside Storage Container, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2008-10-01,196,CW3,Store And Premises,,,,,,
N00030560050005,,"Taylors Storage Land, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2007-04-01,2300,CW1,Land Used For Storage And Premises,,,,,,
N00030560050401,,"Hydrographics, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,,2017-03-31,5300,IF3,Workshop And Premises,Y,2017-10-01,Emprty Property Non Industrial,,,
N00030560050501,,"Harrison Storage Containers At, Brockett Industrial Estate, The Airfield, Acaster Malbis, York, YO23 2PY",YO23 2PY,53.889536,-1.121899,Y,2008-02-01,200,CW3,Store And Premises,,,,,,
N00030690050008,,"Oakview Stables, Daw Lane, Appleton Roebuck, York, YO23 7BL",YO23 7BL,53.872783,-1.149612,Y,2005-04-01,4500,LX,Leisure Unclassified,,,Small Business Rate,-1492.29,,
N00030999050508,Appleton Roebuck & Acaster Selby Pc,"Institute, Daw Lane, Appleton Roebuck, York, YO23 7BL",YO23 7BL,53.872783,-1.149612,Y,1990-04-01,1600,LC3,Hall And Premises,,,Small Business Rate,-588.31,,
N00030999050601,Star Multi Academy Trust,"County Primary School, Main Street, Appleton Roebuck, York, YO23 7DJ",YO23 7DJ,53.873008,-1.158535,Y,2018-07-01,21250,EL,School And Premises,,,Mandatory,-6291.49,-6291.49,
N00060007350369,,"Beau Ideal English Country Flower Shop, Balne Moor Road, Balne, Goole, DN14 0EL",DN14 0EL,53.670827,-1.124863,Y,2013-12-12,1975,CS,Shop And Premises,,,Small Business Rate,-660.05,,
N00060007450019,Mobile Broadband Network Ltd,"T-Mobile Greenfield Site (65900) Ay Haigh End Farm, Doncaster Road, Whitley, Goole, DN14 0JW",DN14 0JW,53.661782,-1.142987,Y,2010-04-01,5700,MT1,Communication Station And Premises,,,,,,
N00060007852018,,"The Pad, Holly Tree Farm, Park Lane, Balne, Goole, DN14 0EP",DN14 0EP,53.664649,-1.11473,Y,2017-08-01,2100,CH1,Self Catering Holiday Unit And Premises,,,Small Business Rate,-1008.00,,
N00060025050106,,"Balne Moor Service Station,, Crosshill Lane, Balne, Goole, DN14 0ET",DN14 0ET,53.666484,-1.087225,Y,1990-04-01,3750,CG1,Vehicle Repair Workshop And Premises,,,Small Business Rate,-1578.39,,
N0006003505030B,,"Crown Garden Centre, Doncaster Road, Whitley, Goole, DN14 0JW",DN14 0JW,53.661782,-1.142987,Y,1990-04-01,41750,CX,Other Commercial,,,,,,
N00060060050109,,"Lowgate Kennels, Lowgate Crossing Farm, Lowgate, Balne, Goole, DN14 0ED",DN14 0ED,53.654923,-1.103812,Y,2008-04-01,9200,CX,Other Commercial,,,Small Business Rate,-2697.61,,
N00060074050119,Weedfree Limited,"Holly Tree Farm, Park Lane, Balne, Goole, DN14 0EP",DN14 0EP,53.664649,-1.11473,Y,1992-04-01,14500,IF3,Workshop And Premises,,,Localised Discretionary ; Small Business Rate ; Supporting Small Business,-1522.72,,
N00060075050102,Balne Parish Council,"The Parish Room, Thorntree Lane, Balne, Goole, DN14 0EP",DN14 0EP,53.664649,-1.11473,Y,1990-04-01,1100,LC3,Hall And Premises,,,,,,
N00060085050805,Burn Fencing Ltd,"West End Farm, West End, Balne, Goole, DN14 0EH",DN14 0EH,53.662866,-1.128962,Y,1995-04-01,10500,IF3,Workshop And Premises,,,Small Business Rate,-4821.25,,
N00060134800202,,"Wind Turbine At Lockgate Farm, Lowgate, Balne, Goole, DN14 0ED",DN14 0ED,53.654923,-1.103812,Y,2015-04-01,4700,FE,Electricity Hereditament And Premises,,,Small Business Rate,-642.83,,
N00060134850104,Great Heck Brewing Company Ltd,"Storage Facility At Lowgate Crossing Farm, Lowgate, Balne, Goole, DN14 0ED",DN14 0ED,53.654923,-1.103812,Y,2014-07-14,3600,IF3,Workshop And Premises,,,,,,
N00060272250123,,"Thorntree Equestrian Centre, Balne Moor Road, Balne, Goole, DN14 0EN",DN14 0EN,53.670056,-1.11174,Y,2015-06-01,600,LX,Leisure Unclassified,,,Small Business Rate,-229.58,,
N0007000815011C,,"Caravan Storage At Ivy Hall, Church Street, Barkston Ash, Tadcaster, LS24 9PJ",LS24 9PJ,53.81883,-1.25442,Y,2008-04-01,2850,CW3,Store And Premises,,,Small Business Rate,-1368.00,,
N00070020050701,Barkston Ash Village Hall Cttee,"Village Hall, Church Street, Barkston Ash, Tadcaster, LS24 9PJ",LS24 9PJ,53.81883,-1.25442,Y,1990-04-01,3500,LC3,Hall And Premises,,,Discretionary Top Up; Mandatory,-1107.32,-885.86,-221.46
N00070030050408,,"Ash Tree Inn, London Road, Barkston Ash, Tadcaster, LS24 9PP",LS24 9PP,53.81727,-1.25883,Y,2008-12-19,15500,CL,Public House And Premises,,,Pub,-1000,,
N0007003005061A,Rainbow Nursery School Ltd,"Rainbow Nursery School, London Road, Barkston Ash, Tadcaster, LS24 9PW",LS24 9PW,53.81387,-1.25817,Y,1990-09-14,72000,EN1,Day Nursery & Premises,,,,,,
N00070040050903,,"Boot & Shoe Inn, Main Street, Barkston Ash, Tadcaster, LS24 9PR",LS24 9PR,53.81838,-1.25666,Y,2019-01-10,5900,CL,Public House And Premises,,,,,,
N00070081050109,,"Courtyard Cottage, Church Street, Barkston Ash, Tadcaster, LS24 9PJ",LS24 9PJ,53.81883,-1.25442,Y,2008-08-14,2850,CH1,Self Catering Holiday Unit And Premises,,,Small Business Rate,-918.33,,
N00070138950213,G B Engineering Ltd,"The Hangar At Stream Farm, Stream Lane, Sherburn In Elmet, Leeds, LS25 6EJ",LS25 6EJ,53.80566,-1.25972,Y,2011-03-01,4350,CW3,Store And Premises,,,Small Business Rate,-1721.88,,
N00070999050101,Barkston Ash Catholic Primary School,"Barkston Ash Primary School, London Road, Barkston Ash, Tadcaster, LS24 9PS",LS24 9PS,53.81988,-1.25815,Y,1990-04-01,17250,EL,School And Premises,,,Mandatory,-5837.40,-5837.40,
N00070999050205,C.F. Harris Ltd,"Copley Lane Quarry, Sir Johns Lane, Sherburn In Elmet, Leeds, LS25 6BJ",LS25 6BJ,53.79714,-1.25819,Y,1990-04-01,11500,IM4,Tipping Site And Premises,,,,,,
N00070999050224,,"Milehill Cottage, Sir Johns Lane, Sherburn In Elmet, Leeds, LS25 6BJ",LS25 6BJ,53.79714,-1.25819,Y,2014-04-01,5700,CW1,Land Used For Storage And Premises,,,Small Business Rate,-1836.67,,
N0008000930001B,Community Partners Limited,"Sponsored Roundabout On (Barlby) Roundabout At A19, Barlby Road, Barlby, Selby, YO8 5AB",YO8 5AB,53.786788,-1.061987,Y,2015-05-01,450,CX,Other Commercial,,,,,,
N00080010000339,Wh Bowker Ltd,"Units 33 & 38 Potter Estate Selby, Barlby Road, Barlby, Selby, YO8 5DZ",YO8 5DZ,53.784031,-1.04981,Y,2016-11-04,412500,CW,Warehouse And Premises,,,,,,
N00080010000379,Wh Bowker Ltd,"Unit 37 Potter Estate Selby, Barlby Road, Barlby, Selby, YO8 5DZ",YO8 5DZ,53.784031,-1.04981,Y,2016-11-04,160000,CW,Warehouse And Premises,,,,,,
N00080010036361,Clipper Group Holdings Ltd,"Clipper Logistics, Barlby Road, Barlby, Selby, YO8 5BL",YO8 5BL,53.782227,-1.046639,Y,2013-06-24,710000,CW,Warehouse And Premises,,,,,,
N00080010050005,Mosaic Fulfilment Solutions Ltd,"Warehouse 35, Barlby Road, Barlby, Selby, YO8 5DZ",YO8 5DZ,53.784031,-1.04981,Y,2017-05-01,71000,CW,Warehouse And Premises,,,,,,
N0008001090001B,Community Partners Limited,"Sponsored Roundabout On (Barlby) Roundabout At A63-A19, Howden Road, Barlby, Selby, YO8 5JE",YO8 5JE,53.797653,-1.041425,Y,2015-05-01,450,CX,Other Commercial,,,,,,
N00080011350017,,"Hand Car Wash , Double Six Service Station, Market Weighton Road, Osgodby, Selby, YO8 5LE",YO8 5LE,53.816842,-1.011308,Y,2013-04-01,5500,CW3,Store And Premises,,,Small Business Rate,-2640.00,,
N0008001135006A,,"Double Six Service Station,, Market Weighton Road, Osgodby, Selby, YO8 5LE",YO8 5LE,53.816842,-1.011308,Y,2015-09-01,300,CX,Other Commercial,,,,,,
N0008001135006B,Fisher Autos Ltd,"Fisher Autos, Double Six Service Station, Market Weighton Road, Osgodby, Selby, YO8 5LE",YO8 5LE,53.816842,-1.011308,Y,2015-09-01,6600,CG1,Vehicle Repair Workshop And Premises,,,Small Business Rate,-3168.00,,
N0008001145001X,Concrete  Panel And Block Company Ltd,"Concrete Panel Company, Riccall Airfield, Market Weighton Road, Barlby, Selby, YO8 5LD",YO8 5LD,53.818904,-1.020425,Y,2015-06-19,58000,IMX,Unclassified Industrial Mineral,,,Localised Discretionary,,,
N00080011450147,Hardcastle Coachworks Ltd,"Hardcastle Coachworks, Riccall Airfield Industrial Estate, Market Weighton Road, Barlby, Selby, YO8 5LD",YO8 5LD,53.818904,-1.020425,Y,2014-09-01,21250,IF3,Workshop And Premises,,,,,,
N00080012100239,,"Unit 2 & 3 West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2011-11-01,4000,CG1,Vehicle Repair Workshop And Premises,,,Small Business Rate,-1920.00,,
N00080035001816,,"16, Barlby Road, Barlby, Selby, YO8 5AA",YO8 5AA,53.786329,-1.062007,Y,2010-11-20,2200,CS3,Hairdressing Salon And Premises,,,,,,
N00080035003205,,"32, Barlby Road, Barlby, Selby, YO8 5AA",YO8 5AA,53.786329,-1.062007,Y,2007-09-20,4300,CS,Shop And Premises,,,Small Business Rate,-1693.18,,
N0008003500520B,,"52, Barlby Road, Barlby, Selby, YO8 5AA",YO8 5AA,53.786329,-1.062007,Y,2010-04-01,6200,CS,Shop And Premises,,,Small Business Rate,-2468.02,,
N00080035050105,,"Unit 1a West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2009-04-01,3850,IF3,Workshop And Premises,,,Small Business Rate,-1848.00,,
N00080035050115,,"Unit 1b West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2013-10-01,2850,IF3,Workshop And Premises,,,Small Business Rate,-1262.71,,
N00080035050206,Selby District Council,"Central Repair Depot, Barlby Road, Barlby, Selby, YO8 5AZ",YO8 5AZ,53.788825,-1.045695,Y,1990-04-01,13000,IF3,Workshop And Premises,,,,,,
N00080035050704,Hazelwood Foods Plc,"Factory, Barlby Road, Barlby, Selby, YO8 5BJ",YO8 5BJ,53.790985,-1.041532,Y,1990-04-01,475000,IF,Factory And Premises,,,,,,
N00080035051001,Jolly Sailor Brewery Ltd,"Olympia Hotel, Barlby Road, Barlby, Selby, YO8 5AB",YO8 5AB,53.786788,-1.061987,Y,2017-04-13,8700,CL,Public House And Premises,,,Pub,-1000,,
N00080035053007,Cemex Uk Materials Ltd,"Concrete Batching Plant, Barlby Road, Barlby, Selby, YO8 5BJ",YO8 5BJ,53.790985,-1.041532,Y,1990-04-01,65000,IMX,Unclassified Industrial Mineral,,,Localised Discretionary,,,
N0008003505400A,,"Olympia Works, Barlby Road, Barlby, Selby, YO8 5AF",YO8 5AF,53.787649,-1.050457,Y,1995-03-01,6600,IF3,Workshop And Premises,,,Small Business Rate,-3041.98,,
N0008003505432A,Whitworth Bros Ltd,"Premier  Foods Ltd , Rank Hovis, Barlby Road, Selby, North Yorkshire, YO8 5AE",YO8 5AE,53.787843,-1.057936,Y,2018-09-29,233000,IF1,Mill And Premises,,,,,,
N0008003511432B,Reilly Fasteners Ltd,"John Croft Adj. Olympia Mill, Barlby Road, Barlby, Selby, YO8 5AB",YO8 5AB,53.786788,-1.061987,,2016-08-02,0,IF3,Workshop And Premises,Y,2016-08-02,,,,
N0008003514321B,Forfarmers Uk Limited,"Forfarmers Uk Ltd Olympia Mills, Barlby Road, Barlby, Selby, YO8 5AB",YO8 5AB,53.786788,-1.061987,Y,2010-04-01,189000,IF1,Mill And Premises,,,,,,
N00080050050106,1st Olympia Scouts Group,"Scout Hall, Bungalow Road, Barlby, Selby, YO8 5AW",YO8 5AW,53.787369,-1.062895,Y,1990-04-01,3250,LC3,Hall And Premises,,,Discretionary Top Up; Mandatory,-903.19,-722.55,-180.64
N0008007005010B,,"Wadkin Arms., Cliffe Road, Osgodby, Selby, YO8 5HU",YO8 5HU,53.794218,-1.027765,Y,2008-01-15,4100,CL,Public House And Premises,,,Small Business Rate,-1968.00,,
N00080097500505,,"Unit 5 West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2015-05-20,4050,IF3,Workshop And Premises,,,Small Business Rate,-1944.00,,
N00080097500606,,"Unit 6 West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2014-12-01,5300,CG3,Car Showroom And Premises,,,Small Business Rate,-2544.00,,
N00080097500707,,"Unit 7 West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2015-04-21,1675,CO,Office And Premises,,,,,,
N00080097504A01,West View Garage Ltd,"Unit 4a West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2015-04-21,5200,IF3,Workshop And Premises,,,Small Business Rate,-2496.00,,
N00080097504B00,,"Unit 4b West View Garage, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2016-03-01,5200,IF3,Workshop And Premises,,,Small Business Rate,-2496.00,,
N00080114051090,Gel Systems Ltd,"Gel Systems Ltd, Riccall Airfield, Market Weighton Road, Barlby, Selby, YO8 5LD",YO8 5LD,53.818904,-1.020425,Y,2009-08-01,53000,CW,Warehouse And Premises,,,,,,
N00080121050109,,"Abbey Chiropractic Clinic, The Bungalow, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,2008-02-25,5600,CO,Office And Premises,,,Small Business Rate,-2918.73,,
N0008014310001A,Community Partners Limited,"Sponsored Roundabout At A63-A19 Selby Bypass, Magazine Road, Barlby, Selby, YO8 5BQ",YO8 5BQ,53.79017,-1.043099,Y,2015-05-01,450,CX,Other Commercial,,,,,,
N00080145050001,North Yorkshire County Council,"Barlby Community Primary School, Hill Top, Barlby, Selby, YO8 5JQ",YO8 5JQ,53.797794,-1.044413,Y,2012-04-01,63500,EL,School And Premises,,,,,,
N00080146150000,Bottle Decoration Solutions Ltd,"Bottle Decoration Solutions Ltd, Riccall Airfield, Market Weighton Road, Barlby, Selby, YO8 5LD",YO8 5LD,53.818904,-1.020425,Y,2013-11-01,23500,IF3,Workshop And Premises,,,,,,
N0008014615002W,,"Wind Turbine At Dutch Pig Farm, Market Weighton Road, Barlby, Selby, YO8 5LE",YO8 5LE,53.816842,-1.011308,Y,2013-04-01,3550,FE,Electricity Hereditament And Premises,,,Small Business Rate,-180.80,,
N0008014935231X,E2 Energy Ltd,"Wind Turbine At Osgodby Grange, South Duffield Road, Osgodby, Selby, YO8 5HR",YO8 5HR,53.797021,-1.014385,Y,2012-11-29,5600,FE,Electricity Hereditament And Premises,,,,,,
N00080150050102,Raise The Bar Selby (Ltd),"New Inn, Howden Road, Barlby, Selby, YO8 5JE",YO8 5JE,53.797653,-1.041425,Y,2015-09-01,12750,CL,Public House And Premises,,,,,,
N00080150051001,Turners Garage Limited,"Turners Garage, Barlby Junction, Barlby, Selby, YO8 5JE",YO8 5JE,53.797653,-1.041425,Y,1990-04-01,51000,CG1,Vehicle Repair Workshop And Premises,,,,,,
N00080150051406,,"Howden Road Fisheries, Howden Road, Barlby, Selby, YO8 5JE",YO8 5JE,53.797653,-1.041425,Y,2018-06-19,2250,CS,Shop And Premises,,,Small Business Rate,-846.25,,
N00080150052004,Barlby Parish Council,"Library, Howden Road, Barlby, Selby, YO8 5JE",YO8 5JE,53.797653,-1.041425,Y,2012-05-01,7500,EM,Library And Premises,,,Small Business Rate,-3600.00,,
N0008015055010B,Graystones Development (Selby)Ltd,"Greystones, Sand Lane, Osgodby, Selby, YO8 5HN",YO8 5HN,53.794806,-1.028328,Y,2005-11-01,580,IF3,Workshop And Premises,,,Small Business Rate,-278.40,,
N00080152650999,The Electricity Network Company Ltd,"Independent Distribution Network Operator, York Road, Barlby, Selby, YO8 5JY",YO8 5JY,53.807636,-1.038753,Y,2017-04-01,315,NX,Non Formula Public And Other Utilities,,,,,,
N00080155052518,Victoria Farm Garden Centre Ltd,"Selby Garden Centre, Hull Road, Osgodby, Selby, YO8 5HG",YO8 5HG,53.796539,-1.031355,Y,2017-09-19,64500,CX,Other Commercial,,,,,,
N00080180050510,Hendersons Of Selby Ltd,"Hendersons Of Selby Ltd Riccall Airfield, Market Weighton Road, Barlby, Selby, YO8 5LD",YO8 5LD,53.818904,-1.020425,Y,2005-08-01,38000,IF3,Workshop And Premises,,,,,,
N00080180050617,,"Storage Land Riccall Airfield, Market Weighton Road, Barlby, Selby, YO8 5LD",YO8 5LD,53.818904,-1.020425,Y,2006-01-12,11750,CW1,Land Used For Storage And Premises,,,,,,
N0008029500650B,,"Barlby Village Stores, 67, Sycamore Road, Barlby, Selby, YO8 5XD",YO8 5XD,53.802369,-1.036565,Y,1999-06-27,7800,CS,Shop And Premises,,,Small Business Rate,-3744.00,,
N0008033505021A,,"West View Stores, Barlby Road, Barlby, Selby, YO8 5BD",YO8 5BD,53.789488,-1.044359,Y,2014-08-16,3950,CS,Shop And Premises,,,Small Business Rate,-1420.55,,
N00080335050313,Ktc Accountants Ltd,"West View, 80, Barlby Road, Barlby, Selby, YO8 5BE",YO8 5BE,53.789736,-1.043822,Y,1993-12-22,10000,CO,Office And Premises,,,Small Business Rate,-4800.00,,
N00080360051209,Toshel Ltd,"The Old Post Office, York Road, Barlby, Selby, YO8 5JH",YO8 5JH,53.800184,-1.040927,Y,2015-11-01,3500,CS6,Post Office And Premises,,,Small Business Rate,-1680.00,,
N0008036005550B,,"Barlby House Day Nursery, York Road, Barlby, Selby, YO8 5JP",YO8 5JP,53.803298,-1.039216,Y,1997-04-07,18750,EN1,Day Nursery & Premises,,,,,,
N00080360055619,Hope Learning Trust York,"Barlby Leisure Centre, York Road, Barlby, Selby, YO8 5JH",YO8 5JH,53.800184,-1.040927,Y,2017-09-01,45250,LC2,Leisure Centre And Premises,,,Mandatory,-17846.60,-17846.60,
N0008047470001B,,"Yard 1b, Apollo Business Centre, Hull Road, Osgodby, Selby, YO8 5HX",YO8 5HX,53.787541,-1.017876,Y,2015-04-01,3050,CW1,Land Used For Storage And Premises,,,Small Business Rate,-1464.00,,
N00080474700109,Malc Collins Mini Coaches Ltd,"Unit 10 Apollo Business Centre , Hull Road, Osgodby, Selby, YO8 5HX",YO8 5HX,53.787541,-1.017876,Y,2010-01-18,3200,IF3,Workshop And Premises,,,Small Business Rate,-1536.00,,
N00080474700B00,,"Yard B Apollo Business Centre, Hull Road, Osgodby, Selby, YO8 5HX",YO8 5HX,53.787541,-1.017876,Y,2017-03-18,2550,CW1,Land Used For Storage And Premises,,,,,,
N00080474701029,,"Unit 1-2 Apollo Business Centre, Hull Road, Osgodby, Selby, YO8 5HX",YO8 5HX,53.787541,-1.017876,Y,2009-04-01,4150,IF3,Workshop And Premises,,,Small Business Rate,-1992.00,,
N00080474703049,,"Unit 3 - 4 Apollo Business Centre, Hull Road, Osgodby, Selby, YO8 5HX",YO8 5HX,53.787541,-1.017876,Y,2012-06-22,4150,IF3,Workshop And Premises,,,Small Business Rate,-1992.00,,
N00080474750097,Active Security (Selby) Ltd,"Suite 1 The Old Granary, Apollo Business Centre, Hull Road, Osgodby, Selby, YO8 5HX",YO8 5HX,53.787541,-1.017876,Y,2015-05-01,1500,CO,Office And Premises,,,Small Business Rate,-854.26,,
N00080510800001,Bdw Trading Limited,"Show House, 1, Riverside Avenue, Barlby, Selby, YO8 5NA",YO8 5NA,53.808052,-1.039994,Y,2017-02-16,14000,CX,Other Commercial,,,,,,
N0008099905020A,North Yorkshire County Council,"Barlby Bridge County Primary School, Barlby Road, Barlby, Selby, YO8 5AA",YO8 5AA,53.786329,-1.062007,Y,1990-04-01,27500,EL,School And Premises,,,,,,
N00080999050281,Preston Baker And Associates Ltd,"Advertising Right At Maiden 1828, Adj Toll House, Barlby Road, Barlby, Selby, YO8 5AB",YO8 5AB,53.786788,-1.061987,Y,2014-11-18,890,CA,Advertising Right,,,,,,
N00080999050303,North Yorkshire County Council,"Hill Top Sportsfield, York Road, Barlby, Selby, YO8 5JP",YO8 5JP,53.803298,-1.039216,Y,1990-04-01,1000,LS,Sports Ground And Premises,,,,,,
N00080999050604,Hope Learning Trust York,"Barlby High School, York Road, Barlby, Selby, YO8 5JP",YO8 5JP,53.803298,-1.039216,Y,2017-09-01,130000,EL,School And Premises,,,Mandatory,-51272.00,-51272.00,
N00080999050619,Hope Learning Trust York,"The Police Station, York Road, Barlby, Selby, YO8 5JP",YO8 5JP,53.803298,-1.039216,Y,2017-09-01,4500,CO,Office And Premises,,,Mandatory,-1774.80,-1774.80,
N00080999051005,Yorkshire Water,"Sewage Disposal Works, Angram Lane, Barlby, Selby, YO8 5UW",YO8 5UW,53.797859,-1.042423,Y,1990-04-01,35000,NW,Sewage Treatment Works And Premises,,,,,,
N00080999052006,Mobile Broadband Network Ltd,"Site No Y00121 Nr Turnhead Farm, Angram Lane, Barlby, Selby, YO8 5JZ",YO8 5JZ,53.8149,-1.043462,Y,2010-05-07,6500,MT1,Communication Station And Premises,,,,,,
N00080999250108,Osgodby Village Institute,"Village Institute, Cliffe Road, Osgodby, Selby, YO8 5HU",YO8 5HU,53.794218,-1.027765,Y,1990-04-01,7000,LC3,Hall And Premises,,,Small Business Rate,-2008.85,,
